,puma,AssedImprov_perc_07,LotArea_07,availFAR_perc_07,st_2007,YearBuilt_07,is_residential
80472,4107.0,82.8,2500.0,26.4,,1930.0,Y
80475,3901.0,0.0,4902.0,100.0,,0.0,N
80496,3903.0,84.0,5950.0,71.7,,1945.0,Y
80502,4002.0,0.3,2500.0,100.0,,0.0,N
80512,4015.0,83.7,4000.0,-34.0,,1910.0,Y
80541,4106.0,83.7,1800.0,-6.7,,1950.0,Y
80543,4001.0,95.1,2500.0,19.8,6.0,1930.0,Y
80615,3801.0,0.0,5850.0,100.0,,0.0,N
80644,4004.0,56.4,1600.0,15.2,,1931.0,Y
80683,3808.0,43.3,1495.0,74.2,,1910.0,Y
80731,4113.0,84.6,3000.0,11.7,,1920.0,Y
80735,4014.0,85.0,2300.0,-83.2,5.0,1920.0,Y
80738,4015.0,80.8,3213.0,38.4,,1925.0,Y
80746,4101.0,0.0,2506.0,100.0,,0.0,N
80769,4016.0,82.8,1775.0,-12.2,,1930.0,Y
80787,4103.0,81.0,4000.0,46.7,,1930.0,Y
80862,4015.0,82.0,4000.0,-8.0,,1910.0,Y
80880,4006.0,84.3,2000.0,10.0,,1901.0,Y
80904,4007.0,83.7,1700.0,34.6,,1910.0,Y
80914,3706.0,83.6,7879.0,95.1,,1910.0,Y
81050,4108.0,83.9,1850.0,4.4,,1929.0,Y
81059,4113.0,60.1,2200.0,-18.4,,1960.0,Y
81062,4112.0,81.4,4000.0,30.0,,1901.0,Y
81079,4005.0,83.2,1800.0,34.5,,1899.0,Y
81108,4004.0,41.5,25500.0,95.0,160.0,0.0,N
81109,4101.0,0.0,1875.0,100.0,,0.0,N
81120,4105.0,81.1,4000.0,48.3,,1950.0,Y
81132,4014.0,84.7,3000.0,0.0,,1930.0,Y
81133,3808.0,78.7,1508.0,77.7,8.0,1910.0,Y
81176,4014.0,65.0,1930.0,-68.8,,1945.0,Y
81196,4106.0,81.7,4720.0,58.9,,1930.0,Y
81215,4105.0,79.3,24520.0,8.3,,1955.0,N
81246,,0.0,2000.0,100.0,,0.0,N
81262,4017.0,84.1,2000.0,-5.6,,1935.0,Y
81289,3901.0,77.0,6731.0,83.3,,1899.0,Y
81290,3703.0,80.9,5004.0,68.3,,1901.0,Y
81298,4002.0,86.0,1792.0,44.4,,1920.0,Y
81306,3903.0,80.0,5000.0,73.3,,1955.0,Y
81309,4112.0,83.5,3000.0,41.7,,1935.0,Y
81339,3701.0,64.1,5270.0,-23.3,,1920.0,Y
81377,4103.0,64.8,3610.0,56.0,,1940.0,Y
81410,4004.0,59.1,2119.0,59.3,,0.0,N
81470,4102.0,0.0,4000.0,100.0,,0.0,N
81484,4013.0,76.5,1800.0,3.7,,1931.0,Y
81508,4006.0,86.5,1976.0,61.0,,1901.0,Y
81526,4101.0,30.5,9002.0,83.2,,1959.0,N
81561,4108.0,0.0,4000.0,100.0,,0.0,N
81582,3903.0,0.0,9851.0,100.0,,0.0,N
81597,4017.0,85.0,2500.0,16.8,,1930.0,Y
81631,3903.0,85.0,3726.0,-25.0,,1945.0,Y
81692,,0.0,2100.0,100.0,,0.0,N
81699,4008.0,85.0,3000.0,-44.0,6.0,1930.0,Y
81706,4002.0,0.0,1285.0,100.0,,0.0,N
81713,4007.0,73.1,61157.0,40.3,,1950.0,Y
81717,4101.0,76.6,2250.0,33.6,,1931.0,N
81726,4103.0,79.4,26800.0,40.7,,1933.0,N
81747,4102.0,0.0,2500.0,100.0,,0.0,N
81787,3901.0,86.9,4972.0,-76.7,,1996.0,Y
81815,,0.0,5600.0,100.0,,0.0,N
81826,4014.0,83.4,2003.0,-18.4,,1899.0,Y
81829,,0.0,1163.0,100.0,,0.0,N
81867,4012.0,70.6,1600.0,15.2,,1920.0,Y
81884,4016.0,80.5,1411.0,-42.2,,1920.0,Y
81944,3902.0,84.5,4000.0,75.0,,1925.0,Y
82036,4103.0,89.0,1500.0,100.0,,2005.0,N
82046,4014.0,82.6,1600.0,-16.0,,1905.0,Y
82060,4104.0,81.9,5000.0,63.3,,1955.0,Y
82069,4001.0,87.0,1875.0,36.6,6.0,1899.0,Y
82079,4018.0,3.0,5094.0,100.0,,0.0,N
82161,4103.0,84.7,2500.0,75.7,,1930.0,Y
82175,3805.0,64.6,14303.0,-50.7,40.0,1940.0,Y
82204,3702.0,32.4,2038.0,16.0,,1915.0,Y
82213,4009.0,71.7,2325.0,44.0,,1960.0,Y
82222,4015.0,83.0,4000.0,-10.0,,1910.0,Y
82301,4105.0,77.2,6000.0,50.0,,1955.0,Y
82334,4104.0,80.2,4300.0,36.0,,1945.0,Y
82410,4101.0,77.2,4200.0,75.3,,1920.0,Y
82435,4004.0,82.4,1667.0,-40.5,,2005.0,Y
82455,4008.0,91.8,1597.0,-85.6,13.0,1930.0,Y
82456,3902.0,84.0,5000.0,20.0,,1930.0,Y
82488,4110.0,0.0,2433.0,100.0,,0.0,N
82585,4101.0,83.8,2525.0,30.4,,1930.0,Y
82621,4112.0,83.7,3360.0,40.0,,1930.0,Y
82645,4016.0,78.3,5500.0,48.3,,1935.0,Y
82649,4113.0,0.0,2400.0,100.0,,0.0,N
82650,4006.0,70.1,2500.0,50.0,,1910.0,Y
82653,3901.0,85.1,4000.0,31.7,,1970.0,Y
82676,4016.0,84.7,2475.0,74.8,,1920.0,Y
82683,3902.0,77.6,6726.0,71.7,,1955.0,Y
82702,3705.0,85.5,2359.0,52.6,,1901.0,Y
82714,3903.0,0.0,3700.0,100.0,,0.0,N
82750,4110.0,80.9,2542.0,17.8,,1930.0,Y
82758,4112.0,83.4,4000.0,21.7,,1935.0,Y
82773,,88.7,29201.0,29.6,,1900.0,N
82777,4109.0,82.2,2500.0,23.3,,1935.0,Y
82800,4105.0,81.9,4080.0,43.3,,1950.0,Y
82823,3804.0,92.3,4978.0,-5.8,,1984.0,Y
82825,4102.0,82.2,6250.0,87.0,,1920.0,Y
82844,3709.0,83.5,4635.0,81.5,,1960.0,Y
82853,4010.0,90.1,11000.0,56.8,,1931.0,N
82909,4006.0,82.0,10395.0,35.0,,1922.0,N
82956,4016.0,87.7,2200.0,1.1,,1925.0,Y
83044,4016.0,88.4,2333.0,-30.0,,1920.0,Y
83077,3810.0,77.8,3790.0,-19.8,25.0,1910.0,Y
83083,4112.0,56.5,4262.0,69.9,,1931.0,N
83097,3804.0,0.0,3532.0,50.5,,0.0,N
83138,4103.0,79.1,4000.0,52.0,,1955.0,Y
83158,3707.0,78.8,3132.0,76.6,,1920.0,N
83250,4001.0,88.0,2500.0,100.0,,0.0,N
83253,4003.0,84.0,1800.0,49.4,,1899.0,Y
83267,4104.0,83.9,5000.0,4.0,,1950.0,Y
83292,3902.0,34.7,10750.0,63.3,,1967.0,N
83312,4103.0,83.4,5000.0,64.8,,1920.0,Y
83329,4108.0,78.7,5500.0,14.0,,1920.0,Y
83364,4008.0,0.0,1500.0,100.0,,0.0,N
83369,4103.0,81.5,6000.0,34.0,,1925.0,Y
83382,4002.0,0.0,2000.0,100.0,,0.0,N
83387,4009.0,41.2,17980.0,-10.0,,1956.0,N
83389,3807.0,0.0,20083.0,100.0,,0.0,N
83432,3810.0,70.0,2097.0,54.1,,1899.0,Y
83458,4101.0,81.0,5000.0,64.0,,1925.0,Y
83504,4009.0,83.7,5900.0,25.0,,1920.0,Y
83546,4104.0,83.1,5280.0,60.0,,1950.0,Y
83548,4011.0,0.0,2000.0,11.1,,2006.0,Y
83609,3804.0,0.0,941.0,100.0,,0.0,N
83613,4105.0,85.5,3800.0,48.3,,1925.0,Y
83645,3710.0,93.4,7250.0,23.5,,1912.0,N
83665,4112.0,84.5,2000.0,24.4,,1920.0,Y
83672,3807.0,78.4,1608.0,45.2,,1910.0,Y
83677,3807.0,52.2,12552.0,21.8,,1910.0,N
83685,4010.0,69.9,2500.0,-11.1,,1930.0,Y
83737,4104.0,78.2,2600.0,-6.7,,1950.0,Y
83746,4012.0,94.5,2028.0,2.5,6.0,1931.0,Y
83797,4103.0,82.0,1948.0,-16.7,,1935.0,Y
83820,4001.0,68.7,2310.0,66.7,,1950.0,N
83824,3702.0,75.5,3750.0,61.1,,1920.0,Y
83830,4104.0,80.8,4000.0,42.0,,1950.0,Y
83832,4103.0,84.6,5225.0,15.0,,1925.0,Y
83868,3805.0,60.0,16320.0,-20.5,,1925.0,Y
83888,4013.0,76.0,3500.0,32.2,,1925.0,Y
83893,4104.0,83.8,4520.0,50.0,,1950.0,Y
83894,4103.0,83.1,2500.0,57.0,,1920.0,Y
83952,4001.0,91.4,3750.0,6.5,,1902.0,N
83957,4016.0,88.0,3445.0,61.6,,1925.0,Y
84050,3903.0,84.9,4900.0,48.8,,1957.0,N
84079,4003.0,81.0,2000.0,4.0,,1899.0,Y
84099,3903.0,0.0,2500.0,100.0,,0.0,N
84122,3810.0,77.7,1584.0,19.3,3.0,1900.0,Y
84128,4005.0,75.2,1040.0,3.3,,1900.0,Y
84144,4016.0,49.8,4200.0,44.4,,1925.0,Y
84146,4103.0,25.6,12275.0,78.8,,1950.0,N
84152,4005.0,83.5,1667.0,57.0,,1899.0,Y
84177,4017.0,83.7,18000.0,13.0,,1931.0,N
84196,4103.0,0.0,3550.0,100.0,,0.0,N
84213,4101.0,85.3,1600.0,46.5,,1920.0,Y
84220,4103.0,76.0,5000.0,56.7,,1920.0,Y
84223,3901.0,82.8,2475.0,-68.3,,1986.0,Y
84226,,,2539.0,50.6,,2006.0,Y
84277,4001.0,89.6,2250.0,48.5,,1910.0,Y
84339,4104.0,85.0,4000.0,50.0,,1960.0,Y
84350,3705.0,94.7,10000.0,-21.5,,1931.0,Y
84351,4009.0,82.0,2000.0,-58.3,,1930.0,Y
84376,4103.0,81.8,4400.0,77.8,,1930.0,Y
84464,4013.0,81.9,1440.0,-3.0,,1930.0,Y
84518,4103.0,75.3,4000.0,41.1,,1901.0,Y
84584,4001.0,0.0,2531.0,-43.0,,2007.0,Y
84586,4014.0,74.1,3756.0,100.0,,0.0,N
84647,4004.0,85.0,1265.0,27.0,,1930.0,Y
84669,4018.0,0.0,1800.0,100.0,,0.0,N
84688,4102.0,73.5,4523.0,60.9,,1940.0,N
84727,4017.0,84.2,2000.0,9.6,,1925.0,Y
84816,3803.0,97.2,4163.0,-27.6,10.0,1910.0,Y
84845,4109.0,69.6,14120.0,65.5,,1916.0,N
84933,3805.0,76.5,9957.0,-34.6,1.0,1963.0,Y
84940,3807.0,49.8,7400.0,10.2,,1954.0,N
84963,4114.0,83.3,2600.0,-5.0,,1930.0,Y
84980,3804.0,0.0,2625.0,-687.8,,0.0,N
85007,4107.0,0.0,1797.0,100.0,,0.0,N
85024,3902.0,0.0,11718.0,100.0,,0.0,N
85047,3805.0,68.3,1918.0,71.9,6.0,1910.0,Y
85077,3705.0,93.0,3144.0,3.3,,1927.0,N
85091,3810.0,71.3,2500.0,-34.0,8.0,1900.0,Y
85111,4110.0,80.4,1800.0,-6.7,,1955.0,Y
85123,4014.0,85.5,3005.0,24.8,,1920.0,Y
85133,3902.0,84.5,6000.0,58.0,,1950.0,Y
85141,4001.0,50.5,2500.0,17.7,,1920.0,N
85198,3806.0,72.1,2013.0,58.5,,1900.0,Y
85199,4003.0,83.1,1800.0,-0.8,,1901.0,Y
85245,4003.0,97.8,1600.0,7.4,,1931.0,Y
85270,4002.0,0.0,2250.0,100.0,,0.0,N
85301,4007.0,96.7,3645.0,-78.0,,1930.0,Y
85344,4104.0,84.4,4000.0,20.0,,1940.0,Y
85356,,0.0,2080.0,100.0,,0.0,N
85366,4005.0,86.2,2000.0,50.6,,1899.0,Y
85390,4104.0,81.7,4000.0,55.0,,1945.0,Y
85413,3901.0,81.6,12375.0,70.0,,1930.0,Y
85441,4102.0,85.4,2500.0,100.0,13.0,0.0,N
85542,3902.0,64.2,14040.0,52.0,,1930.0,Y
85562,3902.0,81.4,5000.0,79.0,,1899.0,Y
85586,4003.0,87.2,2125.0,34.0,,1905.0,Y
85594,4104.0,77.6,5300.0,52.0,,1950.0,Y
85624,4010.0,90.4,6000.0,-366.7,28.0,1929.0,Y
85639,4016.0,83.8,3000.0,-10.0,,1960.0,Y
85643,4105.0,84.2,3800.0,14.0,,1945.0,Y
85666,3708.0,94.4,6852.0,65.8,,1960.0,N
85680,4109.0,83.4,825.0,47.8,,1881.0,Y
85697,4002.0,69.9,2492.0,49.8,,1911.0,Y
85737,4016.0,83.9,3100.0,-8.9,,1965.0,Y
85807,3808.0,85.0,1646.0,41.2,,1910.0,Y
85829,4103.0,75.2,4320.0,56.0,,1950.0,Y
85853,4110.0,17.2,1728.0,57.8,,1901.0,N
85866,3808.0,69.4,2123.0,80.3,,1900.0,Y
85882,3810.0,67.3,3430.0,20.3,,1910.0,Y
85910,4105.0,79.0,2116.0,-104.0,,1952.0,Y
85934,3903.0,61.1,453475.0,23.3,,1953.0,Y
85950,3902.0,15.3,19300.0,91.7,,1956.0,N
85957,4014.0,82.7,4790.0,50.0,,1930.0,N
86024,3902.0,84.8,2000.0,-25.0,,1930.0,Y
86060,3804.0,51.5,1682.0,36.9,,1910.0,N
86171,3808.0,28.3,7360.0,77.8,,1961.0,N
86204,3701.0,25.0,57750.0,98.4,,1931.0,N
86241,3804.0,77.1,2500.0,78.3,,1940.0,N
86273,3702.0,22.1,10000.0,87.0,,1966.0,N
86284,3809.0,51.9,8397.0,12.8,,1920.0,N
86301,4001.0,69.9,2500.0,42.4,,1920.0,Y
86331,4003.0,70.1,1800.0,11.1,,1909.0,Y
86370,4009.0,75.5,4000.0,-6.4,,1925.0,Y
86382,3810.0,72.1,5176.0,1.2,,1915.0,Y
86397,4105.0,74.9,6000.0,60.0,,1955.0,Y
86428,,0.0,5040.0,100.0,,0.0,N
86432,3810.0,79.1,14012.0,17.7,,1986.0,Y
86436,4101.0,86.0,3650.0,78.6,,1920.0,Y
86483,4018.0,82.4,3332.0,69.6,,1985.0,Y
86486,4010.0,71.6,182300.0,12.3,500.0,1950.0,Y
86515,4107.0,79.8,2500.0,44.0,,1901.0,Y
86523,4009.0,83.9,4000.0,-3.3,,1925.0,Y
86553,4009.0,66.5,4000.0,-25.0,,1950.0,Y
86563,3805.0,58.9,43000.0,-184.0,41.0,1975.0,Y
86599,4017.0,85.2,6000.0,72.8,,1915.0,Y
86603,4004.0,76.6,2000.0,67.9,,1930.0,Y
86618,3807.0,36.5,2469.0,82.0,,2007.0,Y
86631,,63.8,404214.0,74.0,,2006.0,N
86644,3903.0,77.5,25000.0,90.0,,1955.0,Y
86658,,0.0,2160.0,100.0,,0.0,N
86672,4010.0,85.0,1950.0,30.5,,1928.0,Y
86715,4111.0,84.3,3713.0,59.2,,1920.0,Y
86760,4105.0,84.4,6000.0,46.7,,1955.0,Y
86795,4104.0,85.4,10000.0,44.0,,1920.0,Y
86857,4110.0,92.3,2725.0,-3.0,6.0,1930.0,Y
86874,4106.0,85.4,4800.0,32.0,,1940.0,Y
86886,4110.0,83.4,1802.0,33.5,,1931.0,N
86891,,0.0,10176.0,100.0,,0.0,N
86900,4005.0,2.7,9402.0,98.8,,1971.0,N
86902,3807.0,72.9,61228.0,55.3,129.0,2003.0,Y
86904,4004.0,64.8,10000.0,66.7,,1931.0,N
86907,4005.0,87.0,2000.0,20.0,,1910.0,Y
86920,4104.0,30.1,25515.0,55.6,,1920.0,N
86931,4106.0,84.5,2375.0,8.3,,1925.0,Y
86968,4106.0,84.9,3165.0,48.3,,1930.0,Y
87011,4105.0,92.1,10618.0,-135.0,,1979.0,N
87028,4002.0,8.4,3940.0,81.0,,1931.0,N
87061,3702.0,76.0,10002.0,100.0,,0.0,N
87096,3901.0,80.1,14157.0,63.3,,1978.0,Y
87097,4010.0,0.0,1425.0,100.0,,0.0,N
87105,4006.0,0.0,2000.0,100.0,,0.0,N
87127,3703.0,0.0,23774.0,100.0,,0.0,N
87155,3810.0,33.5,1875.0,61.6,,1910.0,N
87166,4114.0,83.0,6000.0,-14.0,,1925.0,Y
87182,4017.0,86.0,2500.0,23.2,,1925.0,Y
87227,4015.0,85.0,1991.0,0.8,,1930.0,Y
87312,4102.0,78.9,3000.0,67.0,8.0,1910.0,Y
87376,3709.0,85.5,1967.0,-8.0,,1975.0,Y
87392,4001.0,83.7,1667.0,55.1,,1899.0,Y
87397,3701.0,82.9,58025.0,65.4,,1954.0,N
87409,3701.0,92.4,31628.0,-70.9,,1950.0,Y
87421,4113.0,80.5,5000.0,18.0,,1950.0,Y
87433,3808.0,79.8,3766.0,-102.3,,1982.0,N
87435,4110.0,84.5,2500.0,76.0,,1910.0,Y
87454,4017.0,81.1,3867.0,40.8,,1910.0,Y
87524,3707.0,82.3,4750.0,95.0,,1901.0,Y
87528,3903.0,86.1,1500.0,100.0,,0.0,N
87539,3805.0,84.4,2025.0,62.3,8.0,1900.0,Y
87568,3707.0,0.0,1829.0,100.0,,0.0,N
87581,4004.0,89.0,29707.0,-3.3,,1920.0,N
87618,4015.0,91.9,4000.0,37.6,,1930.0,Y
87623,4004.0,81.8,2250.0,28.0,,1920.0,Y
87673,4002.0,83.3,3000.0,55.6,,1920.0,Y
87682,4002.0,0.0,2138.0,100.0,,0.0,N
87761,3901.0,0.0,5031.0,100.0,,0.0,N
87802,4010.0,82.9,22300.0,2.2,,1986.0,N
87804,3903.0,82.1,6345.0,60.0,,1920.0,Y
87826,4001.0,82.2,10785.0,24.0,,1930.0,N
87838,4104.0,84.8,4000.0,51.7,,1950.0,Y
87886,4002.0,84.9,1875.0,38.3,,1910.0,Y
87916,3903.0,78.4,6000.0,66.7,,1920.0,Y
87922,4002.0,0.0,2500.0,100.0,,0.0,N
87923,3807.0,19.3,3950.0,76.9,,1914.0,N
87961,4106.0,84.8,4000.0,36.0,,1940.0,Y
88027,4106.0,85.9,5524.0,42.0,,1940.0,Y
88060,4013.0,69.8,57368.0,53.3,,1931.0,N
88068,3810.0,48.9,9740.0,57.8,,1951.0,N
88099,4111.0,84.8,2523.0,51.2,,1910.0,Y
88118,4004.0,0.0,2864.0,100.0,,0.0,N
88146,4110.0,63.8,3840.0,31.1,,1950.0,Y
88169,3901.0,22.2,10000.0,78.3,,1949.0,N
88269,4114.0,83.8,2500.0,25.0,,1920.0,Y
88272,4105.0,84.3,4000.0,38.3,,1920.0,Y
88293,4105.0,85.3,4000.0,73.3,,1925.0,Y
88468,4109.0,85.6,1625.0,80.6,,1910.0,Y
88528,3807.0,56.3,7406.0,100.0,296.0,0.0,N
88559,3810.0,82.8,25000.0,-139.6,,1926.0,N
88571,3810.0,56.5,2021.0,-2.5,,1899.0,Y
88599,4001.0,0.0,17500.0,-15.7,53.0,2007.0,Y
88639,4003.0,91.9,2500.0,54.0,,1927.0,N
88666,3808.0,67.0,21825.0,-24.3,,1926.0,N
88673,4102.0,72.4,22790.0,73.5,,1993.0,N
88701,4016.0,94.6,2000.0,-266.7,,1931.0,Y
88702,3806.0,73.3,2043.0,44.0,,1900.0,Y
88703,4003.0,0.0,2783.0,100.0,,0.0,N
88749,4013.0,85.0,2200.0,-9.0,,1920.0,Y
88751,4005.0,0.0,2250.0,100.0,,0.0,N
88770,4107.0,82.7,2500.0,43.2,,1925.0,Y
88803,4106.0,83.8,5400.0,48.0,,1940.0,Y
88813,3705.0,85.6,1440.0,36.6,,1910.0,Y
88814,4106.0,83.9,4920.0,36.0,,1940.0,Y
88855,3903.0,81.2,6000.0,64.0,,1955.0,Y
88884,4001.0,0.0,7500.0,100.0,,0.0,N
88889,4110.0,61.4,11480.0,69.5,,1947.0,N
88890,3804.0,83.7,7884.0,86.2,,1926.0,N
88894,4014.0,85.3,1978.0,56.0,,1920.0,Y
88932,3903.0,85.2,3680.0,53.3,,1950.0,Y
88986,4014.0,92.8,4007.0,-46.1,,1924.0,Y
89070,3810.0,72.2,1639.0,19.8,,1899.0,Y
89082,3901.0,76.8,4185.0,58.3,,1910.0,Y
89096,4018.0,71.0,1126.0,82.5,,0.0,N
89150,4005.0,86.0,6307.0,76.2,,1921.0,N
89152,4009.0,67.5,4000.0,72.0,,1950.0,Y
89162,3807.0,57.9,25154.0,39.8,,1923.0,N
89167,3810.0,84.7,1260.0,79.4,,1899.0,Y
89169,3810.0,71.5,10764.0,50.3,,1910.0,N
89216,4008.0,0.0,7190.0,100.0,,0.0,N
89228,3707.0,0.0,6467.0,100.0,,0.0,N
89235,4008.0,83.4,2500.0,10.4,,1930.0,Y
89246,4105.0,85.2,4000.0,41.7,,1930.0,Y
89254,,0.0,2000.0,100.0,,0.0,N
89338,4110.0,85.0,2238.0,-1.1,,1920.0,Y
89356,3903.0,81.3,5000.0,8.0,,1901.0,Y
89368,4101.0,84.8,2140.0,22.4,,1925.0,Y
89376,3901.0,81.0,6608.0,35.0,,1970.0,Y
89404,3810.0,77.5,2356.0,-26.7,,1900.0,Y
89416,3804.0,87.8,1130.0,39.8,,1900.0,Y
89496,4015.0,82.3,2000.0,45.6,,1930.0,Y
89532,4112.0,0.0,8350.0,100.0,,0.0,N
89540,4012.0,0.0,2517.0,100.0,,0.0,N
89556,3806.0,74.4,1812.0,32.6,,1901.0,Y
89612,4006.0,0.0,6157.0,100.0,,0.0,N
89618,4112.0,82.9,4000.0,52.2,,1935.0,Y
89622,4001.0,0.0,2000.0,100.0,,0.0,N
89658,4103.0,75.3,4000.0,42.0,,1940.0,Y
89707,4106.0,85.1,4656.0,22.0,,1935.0,Y
89743,3802.0,85.0,1898.0,30.8,,1901.0,Y
89780,4002.0,70.1,2454.0,64.6,,1925.0,Y
89791,4007.0,63.1,7929.0,100.0,,0.0,N
89839,3805.0,56.9,1907.0,52.8,,1899.0,Y
89861,4012.0,70.0,2000.0,25.9,,1907.0,Y
89866,4009.0,81.7,2583.0,53.3,,1925.0,Y
89928,4017.0,79.7,4000.0,0.0,,1925.0,Y
90041,4014.0,71.4,2000.0,38.2,,1930.0,Y
90055,4018.0,83.4,3000.0,16.8,,1925.0,Y
90133,3805.0,0.0,22526.0,100.0,,0.0,N
90153,4013.0,83.9,5658.0,1.7,,1920.0,Y
90160,4105.0,83.5,4040.0,22.0,,1945.0,Y
90218,,,1911.0,3.7,,2007.0,Y
90225,4005.0,81.9,1710.0,24.5,,1899.0,Y
90226,3901.0,75.1,11016.0,56.0,,1988.0,Y
90231,4104.0,78.6,5000.0,53.3,,1920.0,Y
90247,4106.0,83.7,1620.0,-40.0,,1950.0,Y
90258,3703.0,90.4,42500.0,1.0,,1960.0,N
90288,3901.0,0.0,5640.0,100.0,,0.0,N
90385,3702.0,78.2,2746.0,60.8,,1930.0,Y
90388,4110.0,82.3,1815.0,1.1,,1935.0,Y
90402,4104.0,78.7,5791.0,66.7,,1930.0,Y
90408,4002.0,87.3,6362.0,60.5,,1931.0,N
90442,4004.0,0.0,2500.0,100.0,,0.0,N
90467,3809.0,59.0,2178.0,33.3,,1920.0,N
90469,4102.0,0.0,2500.0,100.0,,0.0,N
90484,3803.0,95.0,1700.0,22.1,,1910.0,Y
90540,4017.0,82.2,4008.0,63.2,,1899.0,Y
90547,4009.0,75.6,4000.0,61.1,,1925.0,Y
90607,4017.0,85.0,2667.0,-46.7,,1926.0,Y
90613,4011.0,0.0,10383.0,100.0,,0.0,N
90657,3901.0,85.1,4000.0,31.7,,1970.0,Y
90685,4102.0,84.9,2500.0,71.0,,1915.0,Y
90689,3810.0,26.4,1645.0,84.7,,1900.0,Y
90737,3810.0,65.7,1138.0,14.0,,1899.0,Y
90775,4104.0,78.8,4000.0,26.7,,1935.0,Y
90780,4006.0,70.1,1950.0,23.0,,1910.0,Y
90801,3901.0,0.0,6305.0,100.0,,0.0,N
90847,3709.0,84.0,2235.0,-33.3,,1950.0,Y
90873,4006.0,0.0,1520.0,100.0,,0.0,N
90880,4005.0,86.2,2000.0,50.6,,1910.0,Y
90892,4017.0,70.0,2500.0,0.0,,1931.0,Y
90924,4014.0,78.7,2504.0,30.9,,1925.0,Y
90935,4015.0,85.5,4000.0,-58.0,,1925.0,Y
90952,3709.0,82.4,2000.0,70.4,,1920.0,Y
90954,4113.0,84.6,6000.0,66.7,,1940.0,Y
90983,4102.0,86.5,3125.0,71.0,,1925.0,Y
91015,4011.0,70.6,2100.0,35.0,,1920.0,Y
91035,4017.0,75.1,2000.0,-21.6,,1931.0,Y
91062,3708.0,0.0,10830.0,100.0,,0.0,N
91070,,36.4,70382.0,97.0,,1995.0,N
91101,3705.0,0.0,2000.0,100.0,,0.0,N
91108,4004.0,94.5,2098.0,49.5,,1931.0,Y
91122,4112.0,83.7,5000.0,48.3,,1930.0,Y
91145,4001.0,78.1,3000.0,50.0,,1950.0,N
91192,4106.0,84.0,4000.0,40.0,,1940.0,Y
91237,3707.0,85.4,2442.0,68.9,,1920.0,Y
91315,4001.0,86.7,2500.0,60.5,,1899.0,Y
91469,4105.0,83.0,5000.0,36.7,,1930.0,Y
91491,4106.0,83.9,2142.0,-1.1,,1950.0,Y
91538,4002.0,0.0,2000.0,100.0,,0.0,N
91587,4017.0,83.1,4000.0,57.6,,1930.0,Y
91612,4101.0,43.7,10000.0,80.0,,1948.0,N
91636,4016.0,86.3,3133.0,14.4,,1931.0,Y
91671,4102.0,80.3,2500.0,35.6,,1901.0,Y
91720,3701.0,66.9,21350.0,72.0,,1925.0,Y
91731,4009.0,69.4,2000.0,13.3,,1925.0,Y
91785,3705.0,0.0,6388.0,100.0,,0.0,N
91859,4016.0,83.5,4000.0,25.0,,1930.0,Y
91868,4103.0,85.8,3700.0,26.7,,1940.0,Y
91911,4110.0,61.3,9000.0,81.1,,1930.0,Y
91919,3807.0,64.1,2117.0,87.6,,1920.0,N
91925,4105.0,84.0,3325.0,16.7,,1930.0,Y
91935,3810.0,85.0,1480.0,79.2,,1899.0,Y
91959,4009.0,76.5,4325.0,36.7,,1920.0,Y
91989,3807.0,83.4,43313.0,-34.7,,1914.0,N
91993,4014.0,83.4,2003.0,49.8,,1910.0,Y
92004,4109.0,61.3,2500.0,66.7,,1958.0,N
92013,4112.0,84.9,3000.0,28.3,,1940.0,Y
92019,4106.0,86.2,6500.0,16.0,,1925.0,Y
92036,3807.0,57.1,6000.0,34.9,,1922.0,N
92132,4112.0,85.4,2000.0,25.0,,1925.0,Y
92186,3901.0,85.0,2500.0,20.0,,1901.0,Y
92202,4014.0,84.4,2003.0,67.5,,1925.0,Y
92215,3808.0,70.0,1852.0,25.3,,1900.0,Y
92220,4104.0,84.4,6188.0,10.0,,1960.0,Y
92288,4012.0,84.7,2003.0,10.0,,1910.0,Y
92302,4001.0,70.1,1348.0,25.0,,1920.0,Y
92393,4004.0,0.0,1600.0,100.0,,0.0,N
92415,4114.0,82.3,4120.0,20.0,,1955.0,Y
92432,4015.0,76.6,4000.0,63.3,,1925.0,Y
92500,3902.0,85.1,3900.0,40.0,,1920.0,Y
92511,4012.0,93.5,2504.0,54.7,,1931.0,Y
92512,4101.0,64.8,9500.0,19.2,,1965.0,N
92522,3903.0,85.1,3048.0,8.3,,1930.0,Y
92530,,0.0,4255.0,100.0,,0.0,N
92534,3703.0,71.5,2233.0,51.1,,1920.0,Y
92563,3702.0,74.5,9160.0,60.1,,1929.0,N
92591,4003.0,82.9,2000.0,30.9,,1899.0,Y
92612,4004.0,87.8,2000.0,41.3,,1920.0,Y
92627,4008.0,83.4,6000.0,64.4,,1901.0,Y
92645,4106.0,84.3,5883.0,-2.0,,1950.0,Y
92734,4106.0,77.8,3852.0,56.0,,1920.0,Y
92741,4011.0,82.6,7860.0,-6.7,33.0,1927.0,Y
92760,4105.0,84.1,4000.0,-10.0,,1949.0,N
92794,4106.0,85.6,3800.0,47.8,,1940.0,Y
92841,4007.0,85.9,2959.0,37.6,,1901.0,Y
92871,3902.0,81.8,6060.0,65.0,,1960.0,Y
92875,4005.0,0.0,2233.0,100.0,,0.0,N
