,puma,AssedImprov_perc_07,LotArea_07,availFAR_perc_07,st_2007,YearBuilt_07,is_residential
3225,,0.0,5700.0,100.0,,0.0,N
3257,4001.0,86.3,2997.0,63.4,,1930.0,Y
3272,4002.0,92.8,2500.0,32.1,6.0,1931.0,Y
3292,3707.0,84.6,8774.0,48.5,,1931.0,N
3314,4016.0,84.0,4000.0,-11.7,,1925.0,Y
3342,4014.0,84.3,3005.0,60.8,,1920.0,Y
3346,3709.0,95.1,10000.0,-87.7,58.0,1927.0,Y
3370,4002.0,95.6,2483.0,32.1,6.0,1931.0,Y
3381,4016.0,71.3,1194.0,75.0,,1985.0,N
3420,3901.0,81.4,4000.0,51.7,,1965.0,Y
3441,4111.0,85.7,1383.0,-16.8,,1920.0,Y
3444,4016.0,88.3,2500.0,10.0,,1940.0,Y
3530,4013.0,83.1,2525.0,-18.5,,1925.0,Y
3553,,0.0,2675.0,100.0,,0.0,N
3621,4013.0,85.0,2620.0,-57.0,6.0,1920.0,Y
3622,3901.0,2.3,14500.0,88.3,,2003.0,N
3687,3710.0,84.8,13912.0,85.0,,1954.0,N
3771,4105.0,85.6,4000.0,36.0,,1945.0,Y
3811,4018.0,61.2,477660.0,-6.4,,1931.0,N
3820,3807.0,13.4,2340.0,78.6,,1920.0,N
3872,4102.0,79.8,10000.0,63.3,,1920.0,Y
3876,,64.4,2007.0,27.0,,1930.0,N
3884,3701.0,75.2,3151.0,3.3,,1940.0,Y
3915,4017.0,84.8,1933.0,-14.4,,1910.0,Y
3933,,17.3,2375.0,100.0,,1901.0,N
3963,4003.0,82.1,2000.0,9.0,,1899.0,Y
3969,3810.0,89.1,1994.0,34.2,,1900.0,Y
3986,4104.0,80.6,8400.0,10.0,,1955.0,Y
4016,4105.0,84.1,2520.0,12.0,,1950.0,Y
4048,4016.0,85.2,1700.0,-23.3,,1935.0,Y
4071,4103.0,83.8,3000.0,37.8,,1915.0,Y
4094,,0.0,238997.0,100.0,,0.0,N
4103,4003.0,80.5,1665.0,25.3,,1953.0,Y
4128,,,6545.0,99.0,,0.0,N
4132,4011.0,91.2,29584.0,-119.3,20.0,1927.0,Y
4141,4104.0,76.0,5450.0,63.3,,1950.0,Y
4154,3903.0,83.3,3500.0,38.3,,1930.0,Y
4159,4103.0,77.3,10000.0,46.0,,1925.0,Y
4164,3903.0,72.5,2425.0,-38.3,,1930.0,Y
4194,,,5952.0,,,0.0,N
4231,4002.0,81.1,1500.0,17.7,,1899.0,Y
4234,4113.0,79.4,4000.0,0.0,,1965.0,Y
4271,,0.0,3250.0,100.0,,0.0,N
4351,4106.0,79.1,5000.0,48.3,,1925.0,Y
4352,4012.0,81.5,2003.0,48.1,,1901.0,Y
4394,4005.0,88.5,2049.0,11.3,,1920.0,Y
4456,4002.0,84.1,1583.0,50.2,,1901.0,Y
4474,3808.0,63.4,4017.0,53.6,7.0,1939.0,Y
4520,4109.0,89.7,5000.0,82.7,,1931.0,N
4568,4002.0,90.1,6400.0,-15.6,,1931.0,N
4625,4016.0,70.3,8000.0,30.0,,1935.0,Y
4660,4101.0,75.3,5514.0,62.2,,1950.0,Y
4678,3703.0,82.6,2500.0,40.9,,1925.0,Y
4695,4102.0,34.2,2000.0,44.4,,1950.0,N
4696,4007.0,0.0,2000.0,100.0,,0.0,N
4739,3705.0,68.4,4243.0,62.2,,1931.0,Y
4794,3805.0,32.6,12550.0,74.1,,1915.0,N
4931,,0.0,2890.0,100.0,,0.0,N
4951,3902.0,80.7,5562.0,65.0,,1950.0,Y
4958,4101.0,37.5,6800.0,77.8,,1930.0,N
4970,4003.0,0.0,1917.0,100.0,,0.0,N
4976,4010.0,83.5,1600.0,41.2,,1910.0,Y
4999,4002.0,84.8,2636.0,47.3,,1925.0,Y
5019,4110.0,78.3,2600.0,27.8,,1955.0,Y
5112,,0.0,12806.0,100.0,,0.0,N
5117,3901.0,75.1,6042.0,58.3,,1965.0,Y
5139,4009.0,84.7,4000.0,-26.7,,1930.0,Y
5146,4106.0,83.2,1620.0,-20.0,,1940.0,Y
5168,4002.0,88.0,2500.0,32.1,,1931.0,Y
5172,4101.0,83.1,1600.0,52.0,,1930.0,Y
5181,3810.0,67.9,7473.0,28.9,,1989.0,N
5222,4005.0,88.5,4378.0,-8.5,1.0,1920.0,Y
5253,4103.0,82.8,7500.0,44.0,,1935.0,Y
5283,3810.0,88.8,2376.0,34.1,11.0,1900.0,Y
5303,4105.0,86.2,3000.0,6.7,,1930.0,Y
5317,4002.0,37.3,6695.0,7.8,,1903.0,N
5335,4013.0,66.9,4000.0,10.0,,1925.0,Y
5365,3903.0,51.2,16879.0,91.2,,1931.0,N
5474,4016.0,85.6,2240.0,76.1,,1920.0,Y
5511,3902.0,81.9,6900.0,48.0,,1960.0,Y
5545,3902.0,82.1,5900.0,36.0,,1905.0,Y
5548,3902.0,78.8,5000.0,58.3,,1955.0,Y
5555,4112.0,85.0,3492.0,46.7,,1920.0,Y
5572,4015.0,84.8,5000.0,15.0,,1935.0,Y
5576,4102.0,87.3,2800.0,56.5,,1920.0,Y
5580,4007.0,85.1,2076.0,26.4,,1901.0,Y
5596,3903.0,80.8,12553.0,40.0,,1920.0,Y
5677,3903.0,83.6,4365.0,38.3,,1925.0,Y
5697,4103.0,0.0,2500.0,100.0,,0.0,N
5766,4111.0,83.0,1600.0,-26.7,,1920.0,Y
5822,3807.0,72.3,1869.0,65.6,12.0,1910.0,Y
5853,4109.0,84.0,2500.0,100.0,5.0,0.0,N
5921,3804.0,70.5,2523.0,32.8,8.0,1910.0,N
5922,4110.0,80.9,3923.0,72.6,,1925.0,Y
5954,,0.0,1440.0,100.0,,0.0,N
6052,4112.0,94.8,31441.0,18.5,,1973.0,N
6095,4105.0,85.4,4050.0,46.7,,1925.0,Y
6152,3806.0,86.2,1839.0,25.7,,1900.0,Y
6206,4009.0,82.5,4000.0,52.0,,1935.0,Y
6219,4105.0,84.3,5000.0,53.3,,1950.0,Y
6226,4002.0,94.9,2500.0,19.8,,1906.0,Y
6285,3703.0,0.0,2565.0,100.0,,0.0,N
6290,4009.0,84.3,2225.0,23.3,,1940.0,Y
6315,4006.0,85.4,5592.0,47.1,,1910.0,N
6362,4007.0,0.0,98880.0,100.0,,0.0,N
6372,3902.0,85.7,1980.0,58.3,,1930.0,Y
6401,3810.0,67.9,11000.0,-16.2,1.0,1900.0,Y
6449,4004.0,57.9,390000.0,37.9,,1939.0,Y
6466,4017.0,85.7,16310.0,-89.0,,1962.0,N
6467,3810.0,90.6,3420.0,-15.8,,1915.0,Y
6476,4006.0,93.0,1783.0,32.5,,1931.0,Y
6514,3810.0,57.5,6800.0,16.8,,1900.0,N
6516,3901.0,77.3,6000.0,65.0,,1920.0,Y
6547,4016.0,91.9,4000.0,22.5,,1925.0,Y
6576,4109.0,66.4,12000.0,94.2,,1999.0,N
6622,3803.0,0.0,1873.0,100.0,,0.0,N
6689,4105.0,78.9,4000.0,40.0,,2007.0,Y
6717,4006.0,84.2,1629.0,31.7,,1910.0,Y
6728,3807.0,71.8,1925.0,-27.4,,1900.0,N
6746,3805.0,70.1,1252.0,76.0,,1910.0,Y
6750,,0.0,36000.0,100.0,,0.0,N
6765,4109.0,77.5,5000.0,48.0,,1920.0,Y
6806,3901.0,80.8,5850.0,66.0,,1955.0,Y
6826,4003.0,94.8,15000.0,-14.7,,1969.0,N
6836,3901.0,74.7,5000.0,36.0,,1963.0,N
6858,4018.0,75.6,2900.0,60.0,,1930.0,Y
6860,4006.0,70.0,2000.0,32.5,,1910.0,Y
6877,4017.0,78.4,1900.0,0.8,,1931.0,Y
6886,4101.0,84.2,2300.0,52.8,,1920.0,Y
6895,4014.0,0.0,14675.0,-143.3,,2007.0,Y
6955,4009.0,68.1,2000.0,61.6,,1935.0,Y
7010,4109.0,70.0,2760.0,29.2,,1931.0,Y
7029,4015.0,57.8,3750.0,100.0,,0.0,N
7057,4018.0,25.2,5511.0,100.0,,0.0,N
7103,4110.0,70.0,3540.0,74.0,,1931.0,Y
7113,4006.0,77.4,34835.0,-139.0,,1930.0,N
7132,3810.0,47.1,2375.0,22.6,,1900.0,N
7137,4002.0,0.0,7890.0,100.0,,0.0,N
7159,4011.0,82.4,4620.0,78.6,,1910.0,Y
7234,3903.0,70.0,5418.0,20.0,,1931.0,Y
7268,3702.0,71.2,4850.0,90.4,,1940.0,Y
7291,4003.0,85.0,2500.0,60.3,,1931.0,Y
7295,,,18759.0,37.0,,1912.0,N
7331,3804.0,0.0,277.0,100.0,,0.0,N
7418,4005.0,85.0,1917.0,33.0,,1899.0,Y
7442,,0.0,2000.0,100.0,,0.0,N
7456,4105.0,62.4,29257.0,51.1,,1952.0,N
7474,4004.0,17.9,2500.0,-20.0,,2005.0,Y
7487,4003.0,97.4,2338.0,-2.1,,1931.0,Y
7496,4101.0,71.1,2000.0,8.0,,1920.0,Y
7503,4106.0,78.1,4085.0,42.0,,1960.0,Y
7508,4002.0,86.8,16745.0,-507.0,,1930.0,N
7532,4113.0,79.3,4100.0,-10.0,,1965.0,Y
7544,3902.0,73.5,6223.0,73.3,,1945.0,Y
7552,4005.0,81.4,1500.0,49.0,,1899.0,Y
7631,4102.0,83.9,4932.0,100.0,,0.0,N
7709,4001.0,22.5,3485.0,78.7,,1950.0,N
7721,4012.0,84.8,2003.0,50.2,,1915.0,Y
7739,4017.0,80.8,1729.0,22.2,,1960.0,Y
7795,4105.0,85.9,3200.0,30.0,,1930.0,Y
7803,3810.0,63.9,1008.0,14.0,,1899.0,Y
7869,4105.0,84.8,5000.0,35.0,,1935.0,Y
7873,3902.0,73.5,4992.0,68.3,,1955.0,Y
7913,4105.0,79.9,4000.0,58.3,,1940.0,Y
7914,4107.0,87.1,3921.0,-122.2,,1925.0,N
7949,4103.0,82.9,3742.0,53.3,,1930.0,Y
8003,4114.0,74.0,5897.0,18.0,,1940.0,Y
8034,4001.0,71.4,2500.0,62.5,,1920.0,Y
8066,3901.0,79.1,6000.0,71.7,,1940.0,Y
8078,,0.0,4000.0,100.0,,0.0,N
8089,4003.0,85.1,2500.0,42.4,,1899.0,Y
8102,3809.0,51.8,4378.0,75.0,,1948.0,N
8118,3903.0,82.7,2500.0,51.7,,1950.0,Y
8184,3702.0,84.5,2375.0,80.7,,1925.0,Y
8185,4009.0,72.5,9875.0,63.3,,1930.0,Y
8186,4108.0,84.1,6478.0,20.0,,1940.0,Y
8212,3805.0,45.9,2554.0,17.8,21.0,1920.0,Y
8221,4105.0,84.9,3800.0,46.0,,1930.0,Y
8296,3902.0,80.7,16262.0,88.0,,1955.0,Y
8308,4002.0,91.8,2146.0,21.0,,1931.0,Y
8312,4105.0,70.0,3008.0,-70.0,,1952.0,Y
8334,3810.0,40.9,927.0,72.9,,1930.0,N
8357,4016.0,86.0,2000.0,24.4,,1931.0,N
8364,4012.0,82.1,2003.0,58.5,,1899.0,Y
8399,4111.0,90.5,5994.0,30.0,,1920.0,N
8405,4004.0,0.0,1773.0,100.0,,0.0,N
8447,3705.0,2.8,1974.0,100.0,,0.0,N
8462,4105.0,0.0,1895.0,100.0,,0.0,N
8470,4001.0,92.1,3375.0,20.6,,1931.0,N
8481,3902.0,74.8,7500.0,76.7,,1945.0,Y
8485,4002.0,88.0,2500.0,32.1,,1931.0,Y
8488,4107.0,0.0,7065.0,100.0,,0.0,N
8490,4104.0,73.2,5000.0,56.7,,1950.0,Y
8506,4016.0,83.7,1600.0,22.2,,1930.0,Y
8508,4007.0,0.0,2491.0,100.0,,0.0,N
8516,4111.0,93.1,2010.0,-255.0,,1931.0,N
8539,4112.0,71.4,7550.0,60.2,,1938.0,N
8594,3901.0,0.0,7920.0,100.0,,0.0,N
8601,4112.0,85.6,4000.0,25.0,,1940.0,Y
8628,4001.0,81.3,2075.0,-48.6,,1910.0,N
8649,3901.0,79.0,6880.0,46.0,,1935.0,Y
8660,4006.0,87.7,2620.0,37.0,,1901.0,Y
8681,3903.0,86.3,3700.0,8.0,,1920.0,Y
8736,4003.0,83.8,2500.0,56.4,,1899.0,Y
8760,4104.0,54.5,3893.0,50.0,,1935.0,N
8797,4004.0,92.6,1138.0,-18.5,,1901.0,Y
8799,3707.0,0.0,2500.0,100.0,,0.0,N
8825,3901.0,82.5,4000.0,48.0,,1955.0,Y
8828,3808.0,81.3,2300.0,8.8,,1900.0,Y
8848,3807.0,87.7,2468.0,29.4,,1920.0,Y
8876,3702.0,84.0,1980.0,5.6,,1960.0,Y
8895,3902.0,84.6,3827.0,0.0,,1945.0,Y
8928,4013.0,81.3,5000.0,-32.0,,1920.0,Y
8933,4005.0,84.6,1862.0,59.0,,1930.0,Y
8939,3707.0,0.0,4750.0,100.0,,0.0,N
8942,3710.0,73.9,9500.0,-23.5,,1915.0,N
9003,3810.0,72.5,1520.0,38.7,,1899.0,Y
9055,4106.0,84.9,3050.0,4.0,,1930.0,Y
9132,3804.0,92.0,1660.0,43.0,,1909.0,Y
9148,4013.0,65.6,2550.0,-93.3,,1925.0,Y
9165,3903.0,77.8,5000.0,35.0,,1899.0,Y
9188,3702.0,68.2,7500.0,36.0,,1957.0,N
9226,4004.0,0.0,2500.0,100.0,,0.0,N
9240,4017.0,84.2,1260.0,8.8,,1930.0,Y
9306,4103.0,77.0,6000.0,73.3,,1920.0,Y
9371,3702.0,75.0,5000.0,28.9,,1920.0,Y
9374,4109.0,80.5,66000.0,35.4,,1929.0,N
9397,4110.0,84.7,2990.0,-5.6,,1955.0,Y
9419,4017.0,85.0,5800.0,100.0,,0.0,N
9460,4105.0,73.7,4400.0,44.0,,1950.0,Y
9509,4104.0,80.5,4000.0,38.0,,1920.0,Y
9557,4013.0,72.0,1900.0,17.5,,1928.0,Y
9573,3903.0,85.8,2880.0,36.7,,1930.0,Y
9579,4114.0,84.5,3000.0,-18.0,,1935.0,Y
9582,4016.0,84.7,2917.0,-7.8,,1930.0,Y
9585,3805.0,51.3,2510.0,-2.0,,1899.0,Y
9587,3701.0,75.1,2900.0,56.4,,1965.0,Y
9608,4016.0,86.1,4820.0,40.0,,1925.0,Y
9615,4003.0,0.0,1667.0,100.0,,0.0,N
9623,4016.0,84.7,1992.0,0.0,,1935.0,Y
9624,4109.0,27.3,211150.0,91.5,,1941.0,N
9654,4001.0,0.0,1585.0,100.0,,0.0,N
9662,3806.0,65.5,1118.0,63.9,,1900.0,Y
9663,4002.0,68.4,3975.0,53.5,,1931.0,N
9757,3809.0,58.9,3148.0,22.0,,1910.0,N
9790,3809.0,54.9,15261.0,45.6,,1900.0,N
9824,4106.0,77.7,4085.0,42.0,,1960.0,Y
9829,4012.0,84.8,2454.0,55.1,,1930.0,Y
9862,3810.0,47.5,2500.0,52.4,,1910.0,N
9872,4005.0,83.6,1767.0,39.5,,1899.0,Y
9911,4005.0,76.9,1814.0,66.7,,1963.0,N
9932,4105.0,0.0,2800.0,100.0,,0.0,N
9950,4009.0,84.2,2200.0,16.7,,1935.0,Y
9984,4109.0,48.7,10000.0,25.6,,1921.0,N
10086,4103.0,82.7,4000.0,16.7,,1920.0,Y
10116,4017.0,83.9,3222.0,58.4,,1910.0,Y
10119,4107.0,82.8,4000.0,48.0,,1910.0,Y
10157,3809.0,86.6,1875.0,24.5,13.0,1910.0,Y
10245,4005.0,86.1,3414.0,28.5,,1930.0,N
10250,,,5102.0,-33.3,,2006.0,Y
10261,3810.0,67.9,7793.0,91.5,,1953.0,N
10319,4106.0,85.3,3300.0,55.6,,1920.0,Y
10334,3703.0,85.6,2805.0,-21.1,,1965.0,Y
10337,4109.0,79.2,7191.0,60.0,,1920.0,Y
10339,3702.0,29.6,2936.0,45.6,,1931.0,N
10360,4112.0,85.5,3123.0,38.3,,1930.0,Y
10363,4005.0,83.3,10058.0,19.0,,1976.0,N
10405,3702.0,82.8,2500.0,43.3,,1915.0,Y
10430,3705.0,90.8,3483.0,-7.3,9.0,1931.0,Y
10437,3809.0,55.2,3266.0,30.3,20.0,1920.0,Y
10516,4003.0,0.0,2500.0,100.0,,0.0,N
10535,3807.0,88.3,2300.0,-44.0,1.0,1901.0,Y
10569,3703.0,0.0,4500.0,100.0,,0.0,N
10588,4101.0,61.4,4250.0,56.8,,1920.0,Y
10590,3810.0,70.9,2132.0,34.8,,1900.0,Y
10618,4106.0,78.7,6000.0,62.0,,1950.0,Y
10643,4004.0,6.2,4000.0,61.0,,1930.0,N
10647,4106.0,84.9,2370.0,100.0,,0.0,N
10650,3703.0,98.5,2950.0,-33.3,,1925.0,Y
10679,4004.0,85.5,1760.0,25.0,10.0,1900.0,Y
10829,4102.0,0.0,3072.0,100.0,,0.0,N
10841,4103.0,85.7,6000.0,38.0,,1940.0,Y
10851,3805.0,53.3,3577.0,85.2,,1910.0,Y
10853,4001.0,45.1,2500.0,86.7,,0.0,N
10865,4009.0,53.5,4000.0,-6.0,,1960.0,Y
10938,4001.0,0.0,1867.0,100.0,,0.0,N
10953,4103.0,67.0,83333.0,88.5,,2001.0,N
10968,4103.0,83.3,4000.0,35.0,,1930.0,Y
10998,,0.0,4000.0,100.0,,0.0,N
10999,3902.0,79.7,5760.0,75.0,,1950.0,Y
11026,3704.0,75.7,5000.0,72.4,16.0,1920.0,Y
11031,4016.0,83.5,2650.0,-66.7,,1935.0,Y
11041,3810.0,77.9,2485.0,9.5,11.0,1900.0,Y
11077,4102.0,83.3,3404.0,-28.3,,1989.0,Y
11122,4017.0,83.8,5800.0,61.6,,1905.0,Y
11128,4004.0,85.2,1950.0,12.3,,1901.0,Y
11155,4005.0,85.3,1492.0,19.5,,1901.0,Y
11172,4101.0,56.6,7500.0,83.4,,1947.0,N
11193,4010.0,54.6,6450.0,86.8,,1930.0,N
11205,4105.0,83.8,5000.0,78.3,,1925.0,Y
11214,4104.0,83.8,4000.0,2.0,,1920.0,Y
11234,3809.0,80.1,2450.0,74.7,,1985.0,N
11258,4014.0,84.1,2003.0,32.1,,1905.0,Y
11357,3903.0,82.4,5848.0,35.0,,1970.0,Y
11358,4013.0,81.0,8000.0,36.0,,1910.0,Y
11375,4003.0,0.0,3617.0,100.0,,0.0,N
11382,4013.0,82.9,3000.0,38.5,,1920.0,Y
11387,4004.0,5.3,967.0,100.0,,0.0,N
11430,4007.0,79.7,2500.0,28.8,,1910.0,Y
11435,3901.0,78.9,5000.0,70.0,,1950.0,Y
11447,4104.0,80.6,6881.0,71.7,,1945.0,Y
11469,,34.3,314539.0,73.0,,1977.0,N
11475,4017.0,67.4,2900.0,78.4,,1915.0,Y
11623,4106.0,84.6,3465.0,45.6,,1950.0,Y
11625,3805.0,85.5,2043.0,0.2,,1910.0,Y
11669,4105.0,84.9,3800.0,38.0,,1945.0,Y
11671,3702.0,0.0,2860.0,100.0,,0.0,N
11691,4002.0,83.9,1862.0,47.3,,1901.0,Y
11740,4106.0,85.9,6000.0,58.0,,1950.0,Y
11749,3903.0,0.0,3702.0,100.0,,0.0,N
11751,3803.0,84.9,1699.0,53.5,,1910.0,Y
11824,4112.0,70.8,2205.0,66.0,,1931.0,Y
11872,3810.0,46.2,1088.0,52.0,,1899.0,Y
11900,,2.0,9593.0,100.0,,1924.0,N
11936,3810.0,58.2,1428.0,39.1,,1899.0,Y
11963,4008.0,0.0,2000.0,100.0,,0.0,N
11983,4106.0,79.4,2425.0,33.3,,1955.0,Y
12036,4106.0,84.4,4000.0,38.0,,1945.0,Y
12042,4106.0,84.7,4000.0,52.2,,1930.0,Y
12066,3810.0,76.2,2695.0,-41.6,,1900.0,Y
