,puma,AssedImprov_perc_07,LotArea_07,age,availFAR_perc_07,is_residential,is_stabilized
0,3701,0.01624842612327844,0.7664509823291747,0.0,0.2173005915475468,0.0,0.0
1,3702,0.1401200970820182,0.624932827683998,0.22389901004444032,0.011048065189543405,0.0,0.0
2,3703,0.030256068592524117,0.5846700428188377,0.013106653892469667,0.37196723469616844,0.0,0.0
3,3704,0.0,0.21850933353075944,0.0,0.7814906664692406,0.0,0.0
4,3705,0.0,0.5157122865074889,0.3871713356428931,0.0,0.09711637784961799,0.0
5,3706,0.0,0.5818174655213064,0.0,0.4181825344786936,0.0,0.0
6,3707,0.25751852099045613,0.6653116669480313,0.07716981206151262,0.0,0.0,0.0
7,3708,0.0,1.0,0.0,0.0,0.0,0.0
8,3709,0.13251007423381622,0.8516717924563945,0.01581813330978914,0.0,0.0,0.0
9,3710,0.0,0.7027965048763275,0.23656179309190564,0.0606417020317669,0.0,0.0
10,3801,0.0,0.0,0.0,0.0,0.0,1.0
11,3802,0.0,0.8913753801335732,0.0,0.10862461986642688,0.0,0.0
12,3803,0.08146095110036261,0.5795162800563388,0.2401826870632217,0.0,0.09884008178007685,0.0
13,3804,0.5781992804664677,0.0,0.12269759629105931,0.29910312324247296,0.0,0.0
14,3805,0.0,0.09239866987313093,0.18792394908148463,0.44836177612594785,0.0,0.2713156049194366
15,3806,0.0,0.20726687541403344,0.039013763436242445,0.6463930718947822,0.0,0.10732628925494189
16,3807,0.01855998389309963,0.43923584892587364,0.16376340409521548,0.044909484291266545,0.33353127879454486,0.0
17,3808,0.046432420433125454,0.4625412674100849,0.030248658189394758,0.13130583630775106,0.32947181765964395,0.0
18,3809,0.1516844510003208,0.17427453611512378,0.10009907780951789,0.5739419350750374,0.0,0.0
19,3810,0.11997988422822997,0.24396377651219178,0.0,0.3824586837606593,0.2535976554989189,0.0
20,3901,0.0,0.10381022129741281,0.0520713441994033,0.8441184345031839,0.0,0.0
21,3902,0.007339552005820096,0.089022141778482,0.14738897879991059,0.7562493274157873,0.0,0.0
22,3903,0.022510818471108272,0.10365828857870693,0.14142835788745048,0.6065863811335668,0.1258161539291676,0.0
23,4001,0.0,0.036034010935766456,0.09181971372840855,0.17874408877665507,0.69340218655917,0.0
24,4002,0.08233658267500803,0.33340165426920093,0.4238508940420411,0.1604108690137499,0.0,0.0
25,4003,0.31978468338001415,0.3046598099535459,0.3755555066664399,0.0,0.0,0.0
26,4004,0.0,0.1081973382465111,0.09732222719614789,0.23062263559034865,0.5638577989669924,0.0
27,4005,0.13762860218901185,0.048054404390820135,0.09378169680580357,0.23340454675194577,0.4871307498624186,0.0
28,4006,0.15133891051704218,0.15400037164749825,0.25221338772252894,0.0,0.44244733011293064,0.0
29,4007,0.010136519274486158,0.04116947447407738,0.2553707138586736,0.13161163710390567,0.5617116552888571,0.0
30,4008,0.0,0.11190201897224179,0.15048655572960856,0.0,0.7376114252981497,0.0
31,4009,0.0,0.8520817276604975,0.1372742985477698,0.0,0.01064397379173261,0.0
32,4010,0.16006972564551789,0.09426873035755097,0.0,0.002914004010002609,0.7427475399869286,0.0
33,4011,0.0,0.5123766516992854,0.11519875689458667,0.372424591406128,0.0,0.0
34,4012,0.3001895087166142,0.4316530948468083,0.0,0.26815739643657743,0.0,0.0
35,4013,0.2507498783548389,0.6374681309768487,0.0,0.11178199066831233,0.0,0.0
36,4014,0.12157335500177982,0.2676972013775265,0.2404284903584867,0.37030095326220686,0.0,0.0
37,4015,0.16592052450183295,0.34903502121833463,0.10615668692417338,0.378887767355659,0.0,0.0
38,4016,0.05098234794452351,0.4712513823004032,0.09364178708237537,0.3841244826726981,0.0,0.0
39,4017,0.03269396913555316,0.11397234164910101,0.06879702378964225,0.7281279547984961,0.056408710627207474,0.0
40,4018,0.0,0.6226945069415629,0.2125599747413658,0.16474551831707132,0.0,0.0
41,4101,0.0,0.027912254651941183,0.04802465452782849,0.6779745636728679,0.20475506391500242,0.04133346323236
42,4102,0.12076584167543572,0.08404131550803104,0.0,0.7951928428165331,0.0,0.0
43,4103,0.0,0.04813037758535211,0.15216619358791622,0.76938985408078,0.03031357474595172,0.0
44,4104,0.032746341453022576,0.22289675690226943,0.0,0.744356901644708,0.0,0.0
45,4105,0.05506433403356691,0.13191862505768612,0.0,0.734243261750339,0.0787737791584079,0.0
46,4106,0.0,0.49311076857566444,0.11089335746938168,0.3959958739549538,0.0,0.0
47,4107,0.0,0.10503145903531458,0.07757191516964651,0.8173966257950389,0.0,0.0
48,4108,0.018357696337397575,0.18536667692145894,0.11621681085255264,0.6800588158885909,0.0,0.0
49,4109,0.0,0.0489944861345929,0.0,0.3559336824883369,0.5950718313770702,0.0
50,4110,0.5645374305993042,0.22541679495690645,0.09131800864632833,0.1187277657974611,0.0,0.0
51,4111,0.04219307092344931,0.2514345323019844,0.0,0.7063723967745662,0.0,0.0
52,4112,0.0,0.3558653374777564,0.0,0.6441346625222436,0.0,0.0
53,4113,0.030808645553360693,0.2433674355061385,0.09752593040113773,0.6282979885393631,0.0,0.0
54,4114,0.023317437459183292,0.4411738036716639,0.41347796543829973,0.12203079343085303,0.0,0.0
