,puma,LotArea_07,availFAR_perc_07,st_2007,recent_built,recent_alter,is_st
4159,4103,10000.0,46.0,,0,1,0
4164,3903,2425.0,-38.3,,0,1,0
4231,4002,1500.0,17.7,,0,1,0
4234,4113,4000.0,0.0,,0,1,0
4351,4106,5000.0,48.3,,1,1,0
4352,4012,2003.0,48.1,,0,1,0
4357,4006,15000.0,100.0,,1,0,0
4394,4005,2049.0,11.3,,0,1,0
4456,4002,1583.0,50.2,,0,1,0
4474,3808,4017.0,53.6,7.0,0,1,1
4520,4109,5000.0,82.7,,1,1,0
4568,4002,6400.0,-15.6,,0,1,0
4625,4016,8000.0,30.0,,0,1,0
4660,4101,5514.0,62.2,,0,1,0
4667,4008,2000.0,0.8,,1,0,0
4678,3703,2500.0,40.9,,0,1,0
4695,4102,2000.0,44.4,,1,1,0
4696,4007,2000.0,100.0,,1,1,0
4739,3705,4243.0,62.2,,1,1,0
4794,3805,12550.0,74.1,,0,1,0
4951,3902,5562.0,65.0,,0,1,0
4958,4101,6800.0,77.8,,1,1,0
4970,4003,1917.0,100.0,,1,1,0
4976,4010,1600.0,41.2,,0,1,0
4999,4002,2636.0,47.3,,1,1,0
5019,4110,2600.0,27.8,,0,1,0
5117,3901,6042.0,58.3,,0,1,0
5139,4009,4000.0,-26.7,,0,1,0
5146,4106,1620.0,-20.0,,0,1,0
5168,4002,2500.0,32.1,,0,1,0
5172,4101,1600.0,52.0,,0,1,0
5181,3810,7473.0,28.9,,0,1,0
5222,4005,4378.0,-8.5,1.0,0,1,1
5253,4103,7500.0,44.0,,0,1,0
5283,3810,2376.0,34.1,11.0,0,1,1
5303,4105,3000.0,6.7,,0,1,0
5317,4002,6695.0,7.8,,0,1,0
5335,4013,4000.0,10.0,,0,1,0
5365,3903,16879.0,91.2,,0,1,0
5474,4016,2240.0,76.1,,0,1,0
5511,3902,6900.0,48.0,,0,1,0
5545,3902,5900.0,36.0,,0,1,0
5548,3902,5000.0,58.3,,0,1,0
5555,4112,3492.0,46.7,,0,1,0
5572,4015,5000.0,15.0,,0,1,0
5576,4102,2800.0,56.5,,0,1,0
5580,4007,2076.0,26.4,,0,1,0
5596,3903,12553.0,40.0,,0,1,0
5677,3903,4365.0,38.3,,0,1,0
5697,4103,2500.0,100.0,,1,1,0
5705,3710,2108.0,15.6,,1,0,0
5766,4111,1600.0,-26.7,,0,1,0
5822,3807,1869.0,65.6,12.0,0,1,1
5853,4109,2500.0,100.0,5.0,1,1,1
5921,3804,2523.0,32.8,8.0,0,1,1
5922,4110,3923.0,72.6,,0,1,0
6052,4112,31441.0,18.5,,0,1,0
6095,4105,4050.0,46.7,,0,1,0
6152,3806,1839.0,25.7,,0,1,0
6206,4009,4000.0,52.0,,1,1,0
6219,4105,5000.0,53.3,,0,1,0
6226,4002,2500.0,19.8,,0,1,0
6285,3703,2565.0,100.0,,1,1,0
6290,4009,2225.0,23.3,,0,1,0
6315,4006,5592.0,47.1,,0,1,0
6372,3902,1980.0,58.3,,1,1,0
6401,3810,11000.0,-16.2,1.0,0,1,1
6466,4017,16310.0,-89.0,,0,1,0
6467,3810,3420.0,-15.8,,0,1,0
6476,4006,1783.0,32.5,,0,1,0
6514,3810,6800.0,16.8,,0,1,0
6516,3901,6000.0,65.0,,0,1,0
6547,4016,4000.0,22.5,,0,1,0
6576,4109,12000.0,94.2,,0,1,0
6622,3803,1873.0,100.0,,0,1,0
6689,4105,4000.0,40.0,,0,1,0
6717,4006,1629.0,31.7,,0,1,0
6728,3807,1925.0,-27.4,,0,1,0
6746,3805,1252.0,76.0,,0,1,0
6754,3709,3335.0,95.0,,1,0,0
6765,4109,5000.0,48.0,,0,1,0
6806,3901,5850.0,66.0,,0,1,0
6826,4003,15000.0,-14.7,,0,1,0
6836,3901,5000.0,36.0,,0,1,0
6858,4018,2900.0,60.0,,0,1,0
6860,4006,2000.0,32.5,,0,1,0
6877,4017,1900.0,0.8,,0,1,0
6886,4101,2300.0,52.8,,0,1,0
6955,4009,2000.0,61.6,,0,1,0
7010,4109,2760.0,29.2,,0,1,0
7029,4015,3750.0,100.0,,1,1,0
7057,4018,5511.0,100.0,,0,1,0
7103,4110,3540.0,74.0,,0,1,0
7132,3810,2375.0,22.6,,0,1,0
7137,4002,7890.0,100.0,,1,1,0
7159,4011,4620.0,78.6,,1,1,0
7234,3903,5418.0,20.0,,0,1,0
7237,4001,8210.0,100.0,,1,0,0
7268,3702,4850.0,90.4,,1,1,0
7291,4003,2500.0,60.3,,1,1,0
7302,4006,2129.0,100.0,,1,0,0
7331,3804,277.0,100.0,,0,1,0
7418,4005,1917.0,33.0,,0,1,0
7420,4002,2500.0,100.0,,1,0,0
7456,4105,29257.0,51.1,,0,1,0
7474,4004,2500.0,-20.0,,1,1,0
7487,4003,2338.0,-2.1,,0,1,0
7496,4101,2000.0,8.0,,0,1,0
7503,4106,4085.0,42.0,,0,1,0
7532,4113,4100.0,-10.0,,0,1,0
7544,3902,6223.0,73.3,,1,1,0
7552,4005,1500.0,49.0,,0,1,0
7631,4102,4932.0,100.0,,1,1,0
7709,4001,3485.0,78.7,,0,1,0
7721,4012,2003.0,50.2,,0,1,0
7739,4017,1729.0,22.2,,0,1,0
7795,4105,3200.0,30.0,,1,1,0
7803,3810,1008.0,14.0,,0,1,0
7856,4112,2124.0,100.0,,1,0,0
7869,4105,5000.0,35.0,,0,1,0
7873,3902,4992.0,68.3,,0,1,0
7913,4105,4000.0,58.3,,0,1,0
7949,4103,3742.0,53.3,,1,1,0
8003,4114,5897.0,18.0,,0,1,0
8034,4001,2500.0,62.5,,0,1,0
8066,3901,6000.0,71.7,,0,1,0
8089,4003,2500.0,42.4,,1,1,0
8102,3809,4378.0,75.0,,0,1,0
8118,3903,2500.0,51.7,,1,1,0
8135,4014,4007.0,-92.0,,1,0,0
8184,3702,2375.0,80.7,,0,1,0
8185,4009,9875.0,63.3,,1,1,0
8186,4108,6478.0,20.0,,0,1,0
8212,3805,2554.0,17.8,21.0,0,1,1
8221,4105,3800.0,46.0,,0,1,0
8296,3902,16262.0,88.0,,1,1,0
8308,4002,2146.0,21.0,,0,1,0
8312,4105,3008.0,-70.0,,0,1,0
8334,3810,927.0,72.9,,0,1,0
8357,4016,2000.0,24.4,,0,1,0
8364,4012,2003.0,58.5,,0,1,0
8399,4111,5994.0,30.0,,1,1,0
8405,4004,1773.0,100.0,,0,1,0
8428,3708,2181.0,51.2,,1,0,0
8447,3705,1974.0,100.0,,1,1,0
8462,4105,1895.0,100.0,,1,1,0
8470,4001,3375.0,20.6,,0,1,0
8481,3902,7500.0,76.7,,1,1,0
8485,4002,2500.0,32.1,,0,1,0
8488,4107,7065.0,100.0,,1,1,0
8490,4104,5000.0,56.7,,0,1,0
8506,4016,1600.0,22.2,,0,1,0
8508,4007,2491.0,100.0,,1,1,0
8539,4112,7550.0,60.2,,0,1,0
8594,3901,7920.0,100.0,,1,1,0
8601,4112,4000.0,25.0,,0,1,0
8628,4001,2075.0,-48.6,,0,1,0
8649,3901,6880.0,46.0,,1,1,0
8660,4006,2620.0,37.0,,0,1,0
8681,3903,3700.0,8.0,,0,1,0
8736,4003,2500.0,56.4,,1,1,0
8760,4104,3893.0,50.0,,1,1,0
8797,4004,1138.0,-18.5,,0,1,0
8799,3707,2500.0,100.0,,1,1,0
8825,3901,4000.0,48.0,,0,1,0
8828,3808,2300.0,8.8,,0,1,0
8848,3807,2468.0,29.4,,0,1,0
8876,3702,1980.0,5.6,,0,1,0
8895,3902,3827.0,0.0,,0,1,0
8928,4013,5000.0,-32.0,,0,1,0
8933,4005,1862.0,59.0,,0,1,0
8939,3707,4750.0,100.0,,0,1,0
8942,3710,9500.0,-23.5,,0,1,0
9003,3810,1520.0,38.7,,0,1,0
9055,4106,3050.0,4.0,,0,1,0
9132,3804,1660.0,43.0,,0,1,0
9148,4013,2550.0,-93.3,,0,1,0
9165,3903,5000.0,35.0,,0,1,0
9188,3702,7500.0,36.0,,0,1,0
9226,4004,2500.0,100.0,,1,1,0
9240,4017,1260.0,8.8,,0,1,0
9306,4103,6000.0,73.3,,1,1,0
9371,3702,5000.0,28.9,,1,1,0
9374,4109,66000.0,35.4,,0,1,0
9397,4110,2990.0,-5.6,,0,1,0
9419,4017,5800.0,100.0,,1,1,0
9460,4105,4400.0,44.0,,0,1,0
9509,4104,4000.0,38.0,,0,1,0
9557,4013,1900.0,17.5,,0,1,0
9570,4011,6000.0,71.6,,1,0,0
9573,3903,2880.0,36.7,,0,1,0
9579,4114,3000.0,-18.0,,0,1,0
9582,4016,2917.0,-7.8,,0,1,0
9585,3805,2510.0,-2.0,,0,1,0
9587,3701,2900.0,56.4,,1,1,0
9608,4016,4820.0,40.0,,1,1,0
9615,4003,1667.0,100.0,,1,1,0
9623,4016,1992.0,0.0,,0,1,0
9654,4001,1585.0,100.0,,1,1,0
9662,3806,1118.0,63.9,,0,1,0
9663,4002,3975.0,53.5,,0,1,0
9757,3809,3148.0,22.0,,1,1,0
9790,3809,15261.0,45.6,,0,1,0
9824,4106,4085.0,42.0,,0,1,0
9829,4012,2454.0,55.1,,0,1,0
9862,3810,2500.0,52.4,,0,1,0
9872,4005,1767.0,39.5,,0,1,0
9911,4005,1814.0,66.7,,0,1,0
9932,4105,2800.0,100.0,,1,1,0
9950,4009,2200.0,16.7,,0,1,0
9984,4109,10000.0,25.6,,0,1,0
10086,4103,4000.0,16.7,,0,1,0
10116,4017,3222.0,58.4,,0,1,0
10119,4107,4000.0,48.0,,1,1,0
10157,3809,1875.0,24.5,13.0,0,1,1
10245,4005,3414.0,28.5,,0,1,0
10261,3810,7793.0,91.5,,0,1,0
10319,4106,3300.0,55.6,,0,1,0
10334,3703,2805.0,-21.1,,0,1,0
10337,4109,7191.0,60.0,,1,1,0
10339,3702,2936.0,45.6,,0,1,0
10360,4112,3123.0,38.3,,0,1,0
10363,4005,10058.0,19.0,,0,1,0
10400,4112,6000.0,100.0,,1,0,0
10405,3702,2500.0,43.3,,1,1,0
10430,3705,3483.0,-7.3,9.0,0,1,1
10437,3809,3266.0,30.3,20.0,0,1,1
10516,4003,2500.0,100.0,,1,1,0
10535,3807,2300.0,-44.0,1.0,0,1,1
10569,3703,4500.0,100.0,,1,1,0
10588,4101,4250.0,56.8,,0,1,0
10590,3810,2132.0,34.8,,0,1,0
10618,4106,6000.0,62.0,,1,1,0
10643,4004,4000.0,61.0,,1,1,0
10647,4106,2370.0,100.0,,1,1,0
10650,3703,2950.0,-33.3,,0,1,0
10679,4004,1760.0,25.0,10.0,0,1,1
10829,4102,3072.0,100.0,,1,1,0
10841,4103,6000.0,38.0,,0,1,0
10851,3805,3577.0,85.2,,0,1,0
10853,4001,2500.0,86.7,,0,1,0
10865,4009,4000.0,-6.0,,0,1,0
10938,4001,1867.0,100.0,,0,1,0
10968,4103,4000.0,35.0,,1,1,0
10999,3902,5760.0,75.0,,0,1,0
11026,3704,5000.0,72.4,16.0,1,1,1
11031,4016,2650.0,-66.7,,0,1,0
11041,3810,2485.0,9.5,11.0,0,1,1
11077,4102,3404.0,-28.3,,0,1,0
11122,4017,5800.0,61.6,,0,1,0
11128,4004,1950.0,12.3,,0,1,0
11155,4005,1492.0,19.5,,0,1,0
11172,4101,7500.0,83.4,,0,1,0
11193,4010,6450.0,86.8,,1,1,0
11205,4105,5000.0,78.3,,0,1,0
11214,4104,4000.0,2.0,,1,1,0
11234,3809,2450.0,74.7,,0,1,0
11258,4014,2003.0,32.1,,0,1,0
11300,4113,2000.0,3.2,,1,0,0
11357,3903,5848.0,35.0,,0,1,0
11358,4013,8000.0,36.0,,0,1,0
11375,4003,3617.0,100.0,,1,1,0
