,puma,LotArea_07,availFAR_perc_07,st_2007,recent_built,recent_alter,is_st
255722,3903,7600.0,61.7,,0,1,0
255728,3701,8554.0,83.0,,0,1,0
255737,3902,10000.0,100.0,,1,1,0
255740,4009,12365.0,-25.0,,0,1,0
255760,4016,2500.0,43.3,,0,1,0
255805,4104,4000.0,53.3,,0,1,0
255806,3810,1525.0,38.9,,0,1,0
255809,4106,4000.0,26.7,,1,1,0
255850,4016,4000.0,51.1,,0,1,0
255894,4007,2500.0,100.0,,1,1,0
255900,4112,2875.0,36.7,,0,1,0
255903,4015,3400.0,39.2,,1,1,0
255921,4111,8281.0,46.0,,0,1,0
255932,4003,2500.0,44.0,,0,1,0
255942,4001,2223.0,77.8,,0,1,0
255962,3703,2600.0,60.0,,0,1,0
255968,3709,3922.0,76.0,,0,1,0
256020,4105,4000.0,32.0,,0,1,0
256043,4110,15619.0,34.4,,0,1,0
256046,4104,4000.0,46.7,,0,1,0
256048,4113,4000.0,25.0,,0,1,0
256049,4106,4000.0,30.0,,0,1,0
256167,4009,2819.0,57.8,,0,1,0
256174,4012,9500.0,50.0,,0,1,0
256226,4003,1595.0,42.6,,0,1,0
256234,3901,4542.0,10.0,,0,1,0
256235,4009,2000.0,33.6,,0,1,0
256242,4103,2565.0,28.9,,0,1,0
256259,4017,2300.0,42.4,,0,1,0
256262,4010,3000.0,12.8,,0,1,0
256303,4109,4000.0,33.3,,0,1,0
256318,4013,11500.0,12.0,,0,1,0
256338,3803,27337.0,100.0,,1,1,0
256349,4014,2003.0,71.2,,0,1,0
256402,4105,5000.0,31.7,,0,1,0
256406,3809,2404.0,70.9,,0,1,0
256408,3807,8512.0,-88.5,,0,1,0
256412,4107,2239.0,-21.0,,0,1,0
256479,4105,4000.0,32.0,,0,1,0
256482,4009,2000.0,100.0,,1,1,0
256487,4107,2058.0,-18.4,,0,1,0
256502,4107,3002.0,40.8,,1,1,0
256550,4009,3240.0,47.2,,0,1,0
256553,4002,3400.0,-38.3,,0,1,0
256587,3901,6030.0,66.0,,0,1,0
256603,4102,3180.0,0.0,,0,1,0
256630,4103,2832.0,34.8,,0,1,0
256720,4001,2500.0,46.0,,1,1,0
256730,3902,5463.0,61.7,,1,1,0
256756,4111,2500.0,44.8,,0,1,0
256806,4103,1483.0,37.0,,0,1,0
256842,4002,22690.0,53.1,,0,1,0
256850,4015,3063.0,5.6,,0,1,0
256851,4012,1180.0,32.9,,0,1,0
256927,4008,1375.0,20.0,,0,1,0
256946,4109,3200.0,52.5,,1,0,0
256969,3710,1673.0,62.8,,0,1,0
256971,4103,1700.0,46.7,,0,1,0
256975,4107,2800.0,13.6,,1,1,0
256987,4101,2417.0,77.0,,0,1,0
256994,4001,1796.0,100.0,,0,1,0
257005,3807,13989.0,86.6,,1,1,0
257049,4008,4000.0,83.3,,1,1,0
257100,4003,4000.0,100.0,,1,1,0
257104,3901,10810.0,60.0,,0,1,0
257158,4111,5000.0,41.6,,1,0,0
257161,4005,2100.0,31.7,,0,1,0
257169,3702,10135.0,100.0,,1,1,0
257176,4108,1691.0,-24.4,,0,1,0
257186,4012,1600.0,17.7,,0,1,0
257212,4104,5000.0,0.0,,1,0,0
257238,4008,19300.0,-14.0,,0,1,0
257274,3810,1500.0,-7.2,,0,1,0
257288,3803,1699.0,41.3,,0,1,0
257347,4004,2974.0,42.8,,0,1,0
257357,4001,2500.0,80.2,,1,1,0
257391,3901,8000.0,81.7,,1,1,0
257407,4103,1650.0,-2.2,,0,1,0
257415,4012,1870.0,57.2,,0,1,0
257489,4002,1900.0,100.0,,0,1,0
257490,4012,100.0,100.0,,1,1,0
257526,4016,2475.0,-61.1,,0,1,0
257534,4106,4000.0,10.0,,0,1,0
257598,4106,5000.0,38.0,,0,1,0
257604,3902,5000.0,50.0,,0,1,0
257613,4103,1325.0,44.0,,1,1,0
257616,4001,8400.0,62.0,,0,1,0
257627,4017,4000.0,52.2,,0,1,0
257653,4003,3000.0,100.0,,1,1,0
257689,3803,2425.0,100.0,,0,1,0
257706,3705,2500.0,100.0,,1,1,0
257714,4001,2500.0,8.8,,0,1,0
257776,4103,4050.0,-8.0,,0,1,0
257783,4004,1777.0,75.5,,0,1,0
257827,3807,4350.0,79.0,,1,1,0
257935,4016,3540.0,70.0,,0,1,0
257964,4105,7380.0,85.0,,0,1,0
257989,4112,5000.0,56.7,,0,1,0
257994,3809,818.0,56.1,,0,1,0
258003,4110,2333.0,-3.3,,0,1,0
258008,4113,2000.0,48.9,,0,1,0
258031,4101,2438.0,77.4,8.0,1,1,1
258032,4108,4000.0,100.0,,1,1,0
258036,3810,15425.0,11.1,9.0,0,1,1
258052,4105,5000.0,100.0,,1,1,0
258092,4001,2500.0,71.6,8.0,1,1,1
258139,4110,2500.0,68.9,,0,1,0
258154,4113,2600.0,43.3,,0,1,0
258226,4012,1675.0,5.8,,0,1,0
258254,3809,2197.0,39.2,6.0,0,1,1
258301,4112,3000.0,100.0,,1,1,0
258303,3803,2498.0,59.0,,0,1,0
258306,4013,2000.0,18.5,,0,1,0
258316,3903,7930.0,13.3,,1,0,0
258344,3802,3747.0,100.0,,0,1,0
258398,3704,2500.0,100.0,,1,1,0
258405,3803,2498.0,-7.3,5.0,1,1,1
258429,4110,1331.0,100.0,,1,1,0
258442,4103,2500.0,27.8,,0,1,0
258451,4008,2500.0,-34.4,,1,0,0
258473,4007,2323.0,-5.6,6.0,0,1,1
258481,4112,41680.0,25.0,,0,1,0
258519,4005,2161.0,49.0,,0,1,0
258541,4005,1667.0,57.0,,0,1,0
258564,4104,4000.0,16.0,,0,1,0
258568,3903,4500.0,46.0,,0,1,0
258585,4104,4000.0,40.0,,0,1,0
258611,4101,2000.0,8.8,,0,1,0
258613,4010,12000.0,80.8,,0,1,0
258644,4017,2142.0,36.0,,0,1,0
258666,4016,2500.0,45.6,,0,1,0
258798,3902,4896.0,28.3,,0,1,0
258802,4108,10000.0,74.4,,0,1,0
258838,4103,4040.0,44.0,,1,1,0
258855,4002,2500.0,71.2,,0,1,0
258862,4001,7500.0,66.7,,1,1,0
258879,3807,5021.0,62.0,,1,1,0
258887,4006,2496.0,-18.3,10.0,0,1,1
258893,4103,4000.0,5.0,,0,1,0
258898,3807,15525.0,-0.3,311.0,0,1,1
258899,3807,2500.0,100.0,,1,1,0
258930,4110,3300.0,56.7,,0,1,0
258945,4106,7440.0,36.0,,0,1,0
258946,4104,4074.0,22.0,,0,1,0
259000,4101,1900.0,44.8,,0,1,0
259005,4103,1700.0,11.1,,0,1,0
259025,4103,4000.0,100.0,,1,1,0
259058,4113,4603.0,64.8,,0,1,0
259068,3810,2137.0,34.0,2.0,0,1,1
259121,3901,10500.0,62.0,,0,1,0
259169,3709,5000.0,72.8,,0,1,0
259183,3902,6000.0,0.0,,1,0,0
259196,4104,4000.0,51.7,,0,1,0
259202,4002,2500.0,21.0,,0,1,0
259233,3810,29125.0,26.3,,0,1,0
259289,4109,41100.0,100.0,,1,1,0
259309,3704,10000.0,-71.6,48.0,0,1,1
259331,4112,6050.0,76.8,,1,0,0
259354,4105,10821.0,76.7,,1,1,0
259375,4011,1331.0,-8.2,,0,1,0
259390,4112,2600.0,21.7,,0,1,0
259398,4108,2800.0,54.4,,0,1,0
259400,4106,4500.0,36.0,,0,1,0
259408,4104,7000.0,68.3,,1,1,0
259444,4101,2900.0,57.6,,0,1,0
259502,4001,2530.0,100.0,,1,1,0
259559,4003,1667.0,16.0,,0,1,0
259580,3703,5000.0,30.0,,0,1,0
259617,4104,4000.0,16.0,,0,1,0
259636,4001,1875.0,100.0,,1,1,0
259639,3810,2500.0,-9.9,,0,1,0
259660,4112,2394.0,41.1,,0,1,0
259694,4018,3325.0,58.4,,0,1,0
259710,3901,4000.0,60.0,,0,1,0
259747,4108,2025.0,70.1,,0,1,0
259782,4101,3181.0,72.0,,0,1,0
259828,4107,5500.0,64.8,,0,1,0
259857,3805,2109.0,25.0,,0,1,0
259881,4103,1920.0,22.2,,0,1,0
259957,4104,4600.0,63.3,,1,1,0
260098,4104,4488.0,75.0,,1,1,0
260110,4112,4200.0,45.0,,0,1,0
260163,4104,9263.0,62.0,,0,1,0
260179,3807,29625.0,78.3,300.0,1,0,1
260216,4004,3400.0,80.4,,0,1,0
260274,3803,2500.0,-2.9,8.0,0,1,1
260322,4101,3800.0,48.8,,0,1,0
260329,4017,2127.0,42.4,,0,1,0
260369,4016,3570.0,68.9,,0,1,0
260376,4010,1600.0,61.3,,0,1,0
260415,4106,4000.0,56.7,,1,1,0
260429,4103,6000.0,38.3,,1,1,0
260431,4014,2421.0,20.8,,0,1,0
260511,3707,2500.0,100.0,,1,0,0
260520,4018,1933.0,100.0,,1,1,0
260522,4111,4177.0,68.8,,0,1,0
260552,3805,2510.0,-23.5,,0,1,0
260564,4002,2340.0,100.0,,1,1,0
260579,4003,8000.0,50.0,,1,1,0
260628,4105,10000.0,-20.0,,0,1,0
260644,3806,7757.0,48.8,,0,1,0
260652,4112,3000.0,15.0,,0,1,0
260705,4104,4000.0,42.0,,0,1,0
260737,4004,2365.0,43.0,,0,1,0
260750,4104,4042.0,44.0,,0,1,0
260752,4016,2625.0,40.0,,0,1,0
260766,4016,1785.0,30.0,,0,1,0
260822,4110,3435.0,27.8,,0,1,0
260827,4104,6075.0,10.0,,0,1,0
260836,4104,2750.0,-21.7,,0,1,0
260850,4104,4500.0,39.2,,1,1,0
260987,4107,1840.0,93.0,,1,1,0
261049,4105,4000.0,25.0,,0,1,0
261109,4103,4100.0,12.0,,0,1,0
261128,3702,2000.0,100.0,,1,1,0
261154,4012,2003.0,77.0,,1,1,0
261159,3901,42373.0,90.0,,0,1,0
261161,3901,4750.0,70.0,,0,1,0
261186,4004,2469.0,100.0,,1,1,0
261267,4006,3157.0,76.5,,0,1,0
261307,4006,1940.0,63.6,,0,1,0
261316,3901,8755.0,-50.0,,1,0,0
261378,4001,15000.0,11.8,,0,1,0
261413,4106,3000.0,42.2,,0,1,0
261416,3902,7575.0,83.3,,1,1,0
261533,4017,1850.0,45.2,,0,1,0
261565,4104,5000.0,33.3,,1,1,0
261580,4103,4000.0,-70.0,,0,1,0
261604,4001,6000.0,66.7,,0,1,0
261621,3701,297.0,-31.3,,0,1,0
261641,4014,2404.0,64.2,,0,1,0
261652,4107,2000.0,8.0,,0,1,0
261690,3901,8000.0,90.0,,1,1,0
261700,4004,3600.0,100.0,,0,1,0
261720,3810,2200.0,7.4,,0,1,0
261739,4013,1800.0,-13.3,,0,1,0
261749,4001,20000.0,54.5,,0,1,0
261771,3702,1485.0,-25.6,,0,1,0
261823,4001,2500.0,74.1,,1,1,0
261842,4003,1250.0,6.2,,0,1,0
261845,4112,2100.0,-98.3,,0,1,0
261849,4106,5712.0,52.0,,0,1,0
261867,4001,2500.0,-7.0,,0,1,0
261883,4106,2400.0,10.4,,0,1,0
261924,3705,13125.0,58.8,,0,1,0
261967,3704,2375.0,47.2,,0,1,0
262043,4108,3706.0,28.3,,0,1,0
262056,3903,3948.0,34.0,,1,1,0
262077,3902,7000.0,75.0,,1,1,0
262082,4106,6360.0,53.3,,0,1,0
262095,4016,3600.0,70.0,,0,1,0
262111,4104,4000.0,-18.0,,0,1,0
262113,4003,2000.0,9.5,,0,1,0
262130,4104,3675.0,32.0,,0,1,0
262137,4003,2500.0,100.0,,0,1,0
262189,4005,2250.0,100.0,,1,1,0
262238,4104,6000.0,32.0,,0,1,0
262253,3901,8060.0,86.7,,1,1,0
262254,4014,3000.0,22.4,,0,1,0
262256,4012,2003.0,49.4,,0,1,0
262257,4015,10400.0,76.5,,0,1,0
262293,4016,5000.0,100.0,,1,1,0
262303,4102,2200.0,10.0,6.0,0,1,1
262357,4016,6000.0,88.8,,0,1,0
262364,3902,4160.0,66.7,,0,1,0
262377,4106,4000.0,61.1,,0,1,0
262403,4105,5777.0,60.0,,0,1,0
262430,4003,2000.0,20.0,,0,1,0
262435,4107,4517.0,56.8,,0,1,0
262472,4103,6000.0,48.0,,0,1,0
262480,4104,4800.0,61.7,,0,1,0
262540,3807,1533.0,37.3,,0,1,0
262544,3902,5900.0,40.0,,0,1,0
262552,4110,3692.0,5.0,,0,1,0
262557,4006,2441.0,22.5,,0,1,0
262572,4003,2500.0,-30.0,8.0,0,1,1
262595,4010,4754.0,44.0,,0,1,0
262608,4103,3742.0,31.7,,0,1,0
262615,4002,3684.0,40.7,6.0,0,1,1
262635,4011,6000.0,91.8,,1,1,0
262658,3706,2323.0,59.6,,0,1,0
262733,4001,2500.0,50.6,,1,1,0
262740,4013,2000.0,-73.3,,0,1,0
262778,4005,1688.0,100.0,,0,1,0
262798,4015,1900.0,-76.8,,1,0,0
262818,3707,2000.0,53.5,,0,1,0
262838,4003,1600.0,25.0,,0,1,0
262852,3802,12615.0,30.7,,0,1,0
262857,3903,3780.0,56.7,,0,1,0
262884,4111,2315.0,20.8,,1,0,0
262894,3810,4021.0,-23.2,,0,1,0
262910,3710,14963.0,100.0,,1,1,0
262928,4109,20000.0,50.0,,0,1,0
263017,4107,3117.0,63.2,,0,1,0
263082,4109,3000.0,100.0,,1,1,0
263192,4010,2500.0,53.1,,0,1,0
263217,4104,5000.0,60.0,,0,1,0
263235,4107,2000.0,55.2,,0,1,0
263311,3809,4968.0,77.5,,0,1,0
263324,4016,12000.0,64.4,,1,1,0
263352,3810,26496.0,-56.3,,0,1,0
263371,4103,3750.0,100.0,,1,1,0
263392,4014,2000.0,-12.0,,0,1,0
263430,4004,2132.0,5.0,,0,1,0
263463,4009,2000.0,21.1,,0,1,0
263467,3705,2500.0,43.3,,0,1,0
263478,4017,5383.0,29.0,,0,1,0
263483,4014,6010.0,61.6,,1,1,0
263487,3903,3000.0,35.0,,0,1,0
263490,4014,2003.0,49.8,,0,1,0
263514,3902,4480.0,54.0,,0,1,0
263576,4001,2000.0,-50.0,,0,1,0
263611,3810,3897.0,36.5,2.0,0,1,1
263730,4109,4500.0,86.3,,1,1,0
263734,4017,2433.0,73.2,,1,1,0
263741,3810,2678.0,40.7,,0,1,0
263753,4111,5431.0,61.7,,0,1,0
263805,4104,10768.0,58.0,,1,1,0
263827,4013,2706.0,-76.0,,0,1,0
263828,3810,4900.0,10.8,,0,1,0
263831,4008,3000.0,52.2,,0,1,0
263832,3810,1831.0,43.8,,0,1,0
263874,4014,2000.0,-16.0,,0,1,0
263875,4104,4000.0,50.0,,0,1,0
263903,4001,1342.0,-1.2,,0,1,0
263971,4011,2966.0,26.4,,0,1,0
264008,4009,3300.0,10.0,,0,1,0
264016,4009,2000.0,-10.0,,0,1,0
264037,4112,2210.0,70.3,,0,1,0
264086,4104,2800.0,-23.3,,0,1,0
264092,3704,2375.0,100.0,,1,1,0
264094,3803,2500.0,60.7,,0,1,0
264095,4108,3500.0,83.5,8.0,1,1,1
264107,3801,17275.0,0.0,,0,1,0
264117,4112,4000.0,18.3,,0,1,0
264129,4011,5300.0,100.0,,1,1,0
264177,3804,5046.0,54.0,,0,1,0
264218,4005,2400.0,64.5,,0,1,0
264221,4005,10989.0,100.0,,1,1,0
264255,4003,1500.0,-46.5,,0,1,0
264283,4005,2356.0,-1.0,,0,1,0
264327,4003,2000.0,100.0,,0,1,0
264347,4013,3185.0,54.4,,0,1,0
264358,4009,4000.0,-56.7,,0,1,0
264394,4015,4000.0,-24.0,,0,1,0
264399,4009,2000.0,8.3,,0,1,0
264409,4106,4000.0,42.0,,0,1,0
264471,4007,3500.0,86.8,,0,1,0
264666,3903,11704.0,100.0,,1,1,0
264685,3807,2008.0,100.0,,0,1,0
264705,4103,4750.0,38.3,,0,1,0
264796,4001,18125.0,54.0,,1,1,0
264797,3809,2188.0,38.0,11.0,0,1,1
264826,4107,5000.0,39.2,,1,1,0
264828,4002,2500.0,32.1,,0,1,0
264865,4012,1928.0,35.4,,0,1,0
264935,4108,2395.0,11.1,,0,1,0
264945,4005,1900.0,27.5,,0,1,0
265002,4010,4000.0,67.2,,0,1,0
265064,4003,1500.0,40.0,,0,1,0
265077,3810,2335.0,8.2,,0,1,0
265094,4104,6000.0,36.0,,0,1,0
265110,4113,8360.0,82.4,,0,1,0
265128,4003,1750.0,32.5,,0,1,0
265158,4009,4000.0,31.1,,0,1,0
265168,4105,3920.0,40.0,,0,1,0
265229,4018,1800.0,20.0,,0,1,0
265245,4014,3400.0,68.0,,0,1,0
265310,4103,4000.0,48.0,,1,1,0
265398,4106,4275.0,58.3,,0,1,0
265402,4002,2483.0,46.9,,0,1,0
265427,4014,1903.0,46.5,,0,1,0
265432,4101,4000.0,31.1,,1,1,0
265448,4103,5000.0,-17.8,,1,0,0
265480,4105,4000.0,82.0,,0,1,0
265512,3710,1186.0,47.4,,0,1,0
265525,4109,3950.0,66.7,,0,1,0
265544,4111,3300.0,18.3,,0,1,0
265578,4003,1510.0,-6.0,,0,1,0
265669,4012,2000.0,57.2,,0,1,0
265741,3805,2025.0,51.7,,0,1,0
265744,4006,5000.0,23.3,14.0,0,1,1
265796,3810,2236.0,-9.6,3.0,0,1,1
265843,4004,2500.0,-43.5,8.0,0,1,1
265845,4012,12049.0,50.0,,0,1,0
265882,3803,1386.0,-16.3,,0,1,0
265890,4005,2432.0,100.0,,1,1,0
265898,4105,6210.0,73.3,,1,0,0
265917,4106,1800.0,-26.7,,0,1,0
265946,4007,6000.0,69.1,,0,1,0
266009,3704,25000.0,45.6,,0,1,0
266015,4004,2100.0,75.0,,1,1,0
266042,3902,4324.0,10.0,,0,1,0
266054,4016,4000.0,71.2,,1,1,0
266078,3805,2596.0,62.5,4.0,0,1,1
266085,4015,3676.0,48.1,,0,1,0
266106,3809,10000.0,5.8,,0,1,0
266126,4103,4045.0,40.0,,0,1,0
266153,3710,7875.0,-28.8,,0,1,0
266173,4018,2000.0,72.4,,0,1,0
266188,3706,7870.0,70.9,,1,1,0
266200,4104,4000.0,36.0,,0,1,0
266316,4102,2200.0,24.4,,0,1,0
266331,4002,2000.0,17.7,,0,1,0
266343,3701,10000.0,62.0,,0,1,0
266371,4001,2500.0,64.7,,1,1,0
266394,3901,19800.0,91.7,,1,1,0
266395,4103,4000.0,70.0,,0,1,0
266419,4006,3799.0,100.0,,0,1,0
266428,3901,8000.0,32.0,,0,1,0
266435,4106,4300.0,34.0,,0,1,0
266446,3705,2500.0,100.0,,1,1,0
266450,4112,2028.0,-10.0,,0,1,0
266521,3710,1500.0,73.8,,0,1,0
266524,4009,2380.0,30.0,,0,1,0
266527,3903,6500.0,70.0,,0,1,0
266583,3805,16680.0,-12.3,,0,1,0
266636,3807,14500.0,-64.7,,0,1,0
266660,4001,1875.0,51.0,,0,1,0
266705,4013,1801.0,-45.9,,0,1,0
266770,4001,10492.0,100.0,,0,1,0
266772,4006,1225.0,100.0,,1,1,0
266785,4103,5130.0,42.0,,0,1,0
266880,4002,10280.0,50.9,,0,1,0
266940,4013,2535.0,24.4,,0,1,0
266953,3704,2500.0,100.0,,1,1,0
266987,4003,5717.0,100.0,,1,1,0
267007,4103,1925.0,-25.2,,0,1,0
267044,4004,1188.0,100.0,,1,1,0
267046,3901,10050.0,58.0,,0,1,0
267057,3807,2008.0,69.9,,0,1,0
267064,4101,2742.0,53.6,,0,1,0
267082,3807,17573.0,57.8,,0,1,0
267131,4012,2000.0,25.9,,0,1,0
267135,4004,1500.0,60.1,,0,1,0
267178,4014,1600.0,-62.4,,0,1,0
267185,3704,2375.0,100.0,,1,1,0
267252,4014,3000.0,-20.8,,0,1,0
267321,4105,6000.0,60.0,,0,1,0
267325,4006,2620.0,47.0,,0,1,0
267360,4103,4120.0,100.0,,1,1,0
267439,4011,2000.0,14.4,,1,0,0
267445,4007,2340.0,55.9,,0,1,0
267475,4108,4000.0,-10.0,,0,1,0
267551,4106,11290.0,30.0,,1,1,0
267568,3803,1649.0,39.5,,0,1,0
267588,4004,1600.0,58.8,,0,1,0
267670,3703,22650.0,92.2,,1,1,0
267679,3810,3622.0,17.3,24.0,0,1,1
267695,4016,4000.0,-38.3,,0,1,0
267750,4012,2504.0,82.7,,1,1,0
267797,4106,4050.0,66.7,,0,1,0
267828,4014,1200.0,-15.2,,0,1,0
267844,4009,2344.0,0.0,,0,1,0
267846,4003,2020.0,77.0,,0,1,0
267851,3707,15150.0,-56.4,,0,1,0
267872,4105,4050.0,61.7,,0,1,0
267938,4017,2000.0,-24.8,,0,1,0
267941,4002,2000.0,38.3,,0,1,0
267951,4005,2467.0,54.4,,1,1,0
267957,4106,4000.0,22.0,,0,1,0
267987,4111,4750.0,56.7,,0,1,0
268001,3902,4000.0,36.0,,0,1,0
268044,3703,2500.0,64.0,,0,1,0
268112,4010,2000.0,100.0,,1,1,0
268114,4002,1750.0,44.4,,0,1,0
268116,3902,4000.0,75.0,,1,1,0
268209,4110,2000.0,2.2,,0,1,0
268214,3805,1255.0,75.9,,0,1,0
268228,4108,2000.0,16.7,,0,1,0
268243,3708,3700.0,100.0,,1,1,0
268277,3901,5700.0,76.7,,0,1,0
268295,4103,3088.0,-44.4,,1,0,0
268373,4104,2500.0,25.0,,0,1,0
268398,4003,1154.0,76.4,,0,1,0
268407,4013,1933.0,46.0,,0,1,0
268420,3903,6060.0,66.7,,0,1,0
268422,4110,2300.0,-37.8,,0,1,0
268430,3706,5500.0,100.0,,1,1,0
268443,4103,8724.0,100.0,,0,1,0
268452,3810,918.0,44.8,,0,1,0
268480,3702,5471.0,100.0,,1,1,0
268484,4013,6000.0,16.7,,1,1,0
268509,4103,6400.0,100.0,,0,1,0
268525,4010,6000.0,30.0,,0,1,0
268549,4107,2500.0,74.3,,0,1,0
268552,4113,5000.0,54.0,,1,1,0
268576,4114,2423.0,46.7,,0,1,0
268629,3707,1958.0,61.8,,0,1,0
268634,4106,5500.0,34.0,,0,1,0
268650,4104,2850.0,43.3,,0,1,0
268661,4113,3038.0,100.0,,1,1,0
268672,3902,4480.0,31.7,,0,1,0
268683,4017,1925.0,47.1,,0,1,0
268690,3901,11398.0,72.0,,0,1,0
268695,4104,6000.0,2.0,,1,1,0
268718,4007,11800.0,100.0,,1,0,0
268738,4106,6500.0,55.0,,0,1,0
268780,4105,4000.0,42.0,,0,1,0
268786,4002,2500.0,25.9,,0,1,0
268827,4015,1992.0,52.3,,0,1,0
268840,4016,3250.0,57.8,,0,1,0
268848,4112,4000.0,68.3,,0,1,0
268916,3901,4944.0,28.3,,0,1,0
268945,4103,4000.0,37.8,,1,1,0
268987,4108,1900.0,-22.2,,0,1,0
268995,4008,40000.0,-13.0,,0,1,0
269002,3806,1545.0,79.6,1.0,0,1,1
269017,3702,2420.0,7.8,,1,0,0
269030,4108,2925.0,15.0,,0,1,0
269059,4002,2000.0,38.3,,0,1,0
269063,4103,3881.0,90.0,,1,1,0
269091,3802,3250.0,44.8,,0,1,0
269104,4104,4000.0,50.0,,1,1,0
269155,4014,1967.0,34.6,,0,1,0
269187,3706,5957.0,93.6,,1,1,0
269188,3901,6750.0,36.7,,1,0,0
269204,4014,1640.0,-7.2,,0,1,0
269239,3903,5000.0,44.0,,0,1,0
269313,4016,1600.0,-52.0,,0,1,0
269315,4006,1480.0,8.0,,0,1,0
269375,4103,4125.0,75.3,,1,1,0
269410,4015,2360.0,100.0,,0,1,0
269427,4007,2500.0,58.8,,0,1,0
269433,4108,2000.0,20.0,,0,1,0
269436,4018,1933.0,35.2,,0,1,0
269474,3710,2434.0,40.1,,1,0,0
269511,3703,10638.0,74.1,,0,1,0
269513,4106,9883.0,54.0,,1,1,0
269530,4103,7238.0,62.0,,0,1,0
269560,4004,2090.0,79.5,,0,1,0
269580,3809,1373.0,12.5,20.0,0,1,1
269583,4110,1727.0,-45.2,,0,1,0
269594,3805,3749.0,100.0,,1,1,0
269607,3901,4177.0,36.0,,0,1,0
269668,4112,4400.0,-1.7,,0,1,0
269768,4017,2400.0,30.4,,0,1,0
269808,4007,1547.0,38.3,,0,1,0
269832,4012,1288.0,100.0,,1,1,0
269849,4001,9580.0,49.0,,0,1,0
269857,4010,4000.0,100.0,,1,0,0
269862,3805,1916.0,29.5,,0,1,0
269905,3807,2176.0,83.3,,0,1,0
269965,3903,2575.0,100.0,,0,1,0
269972,3901,5000.0,56.7,,1,1,0
270011,4107,1697.0,12.5,,0,1,0
270079,4018,347.0,100.0,,0,1,0
270081,4112,2600.0,66.4,,0,1,0
270085,4113,5921.0,15.0,,1,0,0
270091,4013,17924.0,73.5,,1,0,0
270118,4003,1667.0,20.0,,0,1,0
270181,4110,4000.0,60.0,,0,1,0
270183,3809,3750.0,68.8,,1,1,0
270219,3805,1875.0,68.2,,0,1,0
270237,4110,2312.0,86.5,,1,1,0
270262,4016,1800.0,-11.1,,0,1,0
270272,4106,4000.0,46.0,,0,1,0
270278,4016,5250.0,96.8,,1,1,0
270285,4109,4375.0,81.5,,0,1,0
270325,4004,954.0,21.0,,0,1,0
270371,3902,4200.0,38.3,,0,1,0
270396,4012,3224.0,100.0,,0,1,0
270409,4016,3120.0,-66.4,,1,0,0
270469,3807,7175.0,26.1,,0,1,0
270478,3903,7500.0,5.0,,1,0,0
270480,4002,2500.0,44.9,,0,1,0
270493,4112,2500.0,48.3,,0,1,0
270501,4101,2077.0,6.0,,0,1,0
270588,4112,4000.0,33.3,,0,1,0
270650,3810,14937.0,42.8,,0,1,0
270701,4114,2500.0,61.1,,0,1,0
270711,4017,4000.0,33.3,,1,1,0
270734,3806,1544.0,81.4,,0,1,0
270740,4016,6000.0,26.7,,0,1,0
270741,4006,1119.0,66.5,,1,1,0
270779,4104,9360.0,58.0,,0,1,0
270780,4014,3200.0,-58.3,,0,1,0
270790,4001,2500.0,67.3,,1,1,0
270808,4016,2200.0,10.0,,0,1,0
270809,3804,49146.0,81.0,,1,1,0
270846,4017,2232.0,-36.0,,0,1,0
270885,4001,3125.0,80.7,,1,1,0
270889,4109,6000.0,60.8,,1,1,0
270898,4018,3200.0,77.8,,1,1,0
270912,4004,19136.0,98.5,,1,1,0
270921,3702,11476.0,86.4,,1,1,0
270930,3806,2014.0,51.5,2.0,0,1,1
270933,3805,1839.0,46.2,,0,1,0
270956,4106,9400.0,100.0,,1,1,0
270980,4001,2500.0,20.0,,0,1,0
271005,3901,4500.0,66.7,,0,1,0
271051,4112,3850.0,18.3,,0,1,0
271079,3804,1892.0,19.7,,1,1,0
271125,4002,1625.0,-23.5,,0,1,0
271169,4006,2000.0,48.5,,0,1,0
271170,4014,2504.0,65.8,,1,1,0
271210,4101,2000.0,47.2,,0,1,0
271286,4012,1786.0,54.5,,0,1,0
271295,4011,10000.0,78.0,,0,1,0
271338,3805,828.0,24.0,,0,1,0
271363,4102,3500.0,58.9,,0,1,0
271409,3805,2510.0,3.2,,0,1,0
271414,4004,1467.0,14.0,,0,1,0
271481,4011,5882.0,64.5,,0,1,0
271526,4103,4279.0,60.0,,1,1,0
271561,4113,2798.0,-18.3,,0,1,0
271609,3802,1665.0,47.7,,0,1,0
271650,4001,2500.0,66.7,,0,1,0
271661,4003,1950.0,-35.2,,0,1,0
271730,3901,2070.0,-38.3,,0,1,0
271740,4013,2950.0,22.2,,0,1,0
271811,4103,2500.0,-36.0,,0,1,0
271829,3903,4750.0,58.0,,0,1,0
271870,4103,3500.0,60.0,,0,1,0
271895,4016,2364.0,43.2,,0,1,0
271965,3901,4610.0,-81.7,,1,1,0
271998,3805,2510.0,-2.5,,0,1,0
272011,4006,8500.0,34.0,,0,1,0
272033,4109,16000.0,85.0,,0,1,0
272044,4003,2000.0,16.0,,0,1,0
272060,4103,2500.0,56.4,,0,1,0
272061,3903,4750.0,40.0,,0,1,0
272106,4105,4000.0,42.0,,0,1,0
272111,4002,1333.0,17.7,,0,1,0
272151,4017,2320.0,-3.3,,0,1,0
272162,3901,4000.0,56.7,,1,1,0
272163,4111,14700.0,1.1,,0,1,0
